Site,Stratum,Genus,Species,LifeForm,LeafHabit,LL,nLL,Aarea,Amass,Rarea,Rmass,Narea,Nmass,Parea,Pmass,LMA,LT,LD,CellPerVol
PNM,canopy,Albizia,guachapele,treelet,evergreen,183,80,12.575,0.1453,1.175,0.01357,2.62,0.0303,0.088,0.00101,86.56,0.19,0.455592189,0.047
PNM,understory,Albizia,guachapele,treelet,evergreen,260.5,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PNM,canopy,Amphilophium,paniculatum,liana,evergreen,122,118,5.398,0.08,0.691,0.01024,1.699,0.0252,0.116,0.00171,67.5,0.22,0.306825996,0.04
PNM,understory,Amphilophium,paniculatum,liana,evergreen,153,165,3.207,0.1806,0.1505,0.00848,0.541,0.0305,0.038,0.00216,17.75,NA,NA,NA
PNM,canopy,Anacardium,excelsum,tree,deciduous,280,6872,6.344,0.0573,1.73,0.01562,1.408,0.0127,0.156,0.00141,110.78,0.23,0.481635297,0.088
PNM,understory,Anacardium,excelsum,tree,deciduous,243,1278,3.612,0.1187,0.1555,0.00511,0.467,0.0153,0.049,0.00161,30.44,0.16,0.190239517,0.032
PNM,canopy,Annona,spraguei,tree,deciduous,216,772,14.1,0.2367,0.355,0.00596,1.36,0.0228,0.102,0.00172,59.57,NA,NA,NA
PNM,understory,Annona,spraguei,tree,deciduous,168.5,20,5.225,0.2385,0.276,0.0126,0.568,0.0259,0.035,0.00159,21.91,0.21125,0.103713963,0.012
PNM,canopy,Antirrhoea,trichantha,tree,deciduous,180,3508,9.445,0.1376,1.5,0.02185,1.383,0.0201,0.098,0.00143,68.64,NA,NA,NA
PNM,canopy,Aristolochia,inflata,liana,evergreen,30,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA
PNM,canopy,Aristolochia,maxima,liana,evergreen,173,81,12.15,0.1376,1.1966,0.01355,2.317,0.0262,0.13,0.00147,88.3,0.29,0.304470585,NA
PNM,understory,Aristolochia,maxima,liana,evergreen,107.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PNM,canopy,Arrabidaea,candicans,liana,evergreen,183,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,NA,NA
PNM,canopy,Arrabidaea,patellifera,liana,evergreen,153,42,10.93,0.1453,0.9585,0.01274,1.904,0.0253,0.084,0.00112,75.24,0.21,0.358282489,0.034
PNM,canopy,Astronium,graveolens,tree,evergreen,271,48,15.125,0.1758,0.746,0.00867,2.687,0.0312,0.169,0.00197,86.05,0.13,0.661946223,0.063
PNM,understory,Astronium,graveolens,tree,evergreen,278,144,4.487,0.1425,0.3763,0.01195,0.848,0.0269,0.057,0.00183,31.48,0.08,0.393536711,0.044
PNM,canopy,Bonomia,maripoide,vine,evergreen,179,459,7.738,0.1353,1.405,0.02457,1.585,0.0277,0.104,0.00182,57.19,0.16,0.357419257,NA
PNM,canopy,Castilla,elastica,tree,deciduous,180,534,17.05,0.1992,0.9075,0.0106,2.063,0.0241,0.147,0.00171,85.6,0.35,0.244559476,0.045
PNM,understory,Castilla,elastica,tree,deciduous,129,34,3.825,0.2451,0.264,0.01691,0.423,0.0271,0.033,0.00211,15.61,0.28,0.05574329,0.016
PNM,canopy,Cecropia,longirostris,tree,deciduous,89,889,20.563,0.2267,1.87,0.02061,2.475,0.0273,0.179,0.00197,90.72,NA,NA,NA
PNM,understory,Cecropia,longirostris,tree,deciduous,NA,NA,NA,NA,NA,NA,0.729,0.0293,0.054,0.00219,24.86,NA,NA,NA
PNM,canopy,Cecropia,obtusifolia,tree,evergreen,87,87,22.1,NA,2.1922,NA,NA,NA,NA,NA,NA,0.416667,NA,NA
PNM,understory,Cecropia,obtusifolia,tree,evergreen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1075,NA,NA
PNM,canopy,Cecropia,peltata,tree,evergreen,114,32,18.05,0.2641,0.8547,0.0125,2.04,0.0298,0.113,0.00165,68.35,NA,NA,NA
PNM,understory,Cecropia,peltata,tree,evergreen,NA,NA,NA,NA,NA,NA,0.608,0.0304,0.055,0.00277,19.99,NA,NA,NA
PNM,canopy,Chrysophyllu,cainito,tree,evergreen,152.5,102,11.35,0.0923,0.5195,0.00423,2.092,0.017,0.124,0.00101,122.91,0.31,0.396497414,0.055
PNM,understory,Chrysophyllu,cainito,tree,evergreen,365,41,7.848,0.1679,0.3649,0.00781,0.885,0.0189,0.063,0.00134,46.74,0.2,0.233720848,0.04
PNM,canopy,Cinnamomum,triplinerve,tree,evergreen,404.5,144,6.138,NA,1.079,NA,NA,NA,NA,NA,NA,0.23875,NA,NA
PNM,canopy,Cissus,erosa,vine,evergreen,88.5,22,10.367,NA,2.9018,NA,NA,NA,NA,NA,NA,0.23,NA,NA
PNM,canopy,Codonanthe,uleana,epiphyte,evergreen,150,30,NA,NA,NA,NA,0.935,0.0217,0.192,0.00445,43.16,1.27,0.033981446,NA
PNM,canopy,Combretum,fruticosum,liana,deciduous,154,1333,15.875,0.2275,1.9,0.02723,1.644,0.0236,0.11,0.00157,69.78,NA,NA,NA
PNM,understory,Combretum,fruticosum,liana,deciduous,214,26,2.616,NA,0.4386,NA,NA,NA,NA,NA,NA,NA,NA,NA
PNM,canopy,Cordia,alliodora,tree,deciduous,175,170,21.05,0.2489,0.7205,0.00852,2.17,0.0257,0.132,0.00156,84.57,0.243333,0.347545527,0.063
PNM,understory,Cordia,alliodora,tree,deciduous,243,53,5.982,0.241,0.2415,0.00973,0.683,0.0275,0.036,0.00143,24.82,0.125,0.198580598,0.05
PNM,canopy,Cupania,latifolia,treelet,evergreen,61,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PNM,canopy,Dioclea,guianensis,liana,evergreen,91,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,NA,NA
PNM,understory,Dioclea,guianensis,liana,evergreen,213,38,7.163,0.1349,0.4796,0.00903,0.932,0.0176,0.067,0.00126,53.1,NA,NA,NA
PNM,canopy,Doliocarpus,dentatus,liana,evergreen,61,6,9.45,NA,0.36,NA,NA,0.0154,NA,0.00084,NA,0.345,NA,0.042
PNM,understory,Doliocarpus,dentatus,liana,evergreen,259.5,16,3.943,0.1143,0.1584,0.00459,0.528,0.0153,0.037,0.00108,34.49,0.17,0.20286344,NA
PNM,canopy,Doliocarpus,major,liana,evergreen,167,30,6.175,NA,0.9988,NA,NA,NA,NA,NA,NA,NA,NA,NA
PNM,understory,Doliocarpus,major,liana,evergreen,302,71,4.112,0.1001,0.167,0.00407,0.685,0.0167,0.038,0.00093,41.07,NA,NA,NA
PNM,canopy,Doliocarpus,multiflorus,liana,evergreen,150.5,6,8.348,0.1083,1.159,0.01503,1.096,0.0142,0.072,0.00093,77.09,0.3325,0.231864584,NA
PNM,understory,Doliocarpus,multiflorus,liana,evergreen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,0.038
PNM,canopy,Doliocarpus,olivaceus,liana,evergreen,214,6,9.034,0.1489,0.0511,0.00084,0.994,0.0164,0.06,0.00099,60.67,NA,NA,NA
PNM,understory,Doliocarpus,unidentified,liana,evergreen,154,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PNM,canopy,Drymonia,serrulata,vine,evergreen,60,19,12.925,0.3157,0.8025,0.0196,0.805,0.0197,0.068,0.00167,40.95,0.45,0.09099309,NA
PNM,canopy,Ficus,insipida,tree,evergreen,92,143,27.3,0.1941,2.445,0.01738,2.974,0.0211,0.245,0.00174,140.67,0.4,0.351687149,0.066
PNM,understory,Ficus,insipida,tree,evergreen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,NA,NA
PNM,canopy,Fisheria,blepharopeta,vine,evergreen,43,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PNM,canopy,Forsteronia,spicata,liana,evergreen,107,110,17.5,0.1729,1.4944,0.01476,2.897,0.0286,0.166,0.00164,101.22,NA,NA,NA
PNM,canopy,Gouania,lupuloides,liana,evergreen,92,119,9.495,0.2565,0.4846,0.01309,1.257,0.034,0.066,0.00179,37.02,0.19,0.19484232,0.027
PNM,canopy,Guazuma,ulmifolia,tree,deciduous,201,164,19.375,0.3405,1.055,0.01854,1.304,0.0229,0.086,0.00152,56.9,NA,NA,NA
PNM,understory,Guazuma,ulmifolia,tree,deciduous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA
PNM,canopy,Jacquemontia,perryana,vine,NA,81,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,NA,NA
PNM,canopy,Luehea,seemannii,tree,deciduous,186,5098,15.458,0.1564,3.585,0.03628,1.742,0.0176,0.153,0.00154,98.83,0.2275,0.434399676,0.069
PNM,understory,Luehea,seemannii,tree,deciduous,180,995,3.765,0.1481,0.1118,0.0044,0.574,0.0226,0.057,0.00225,25.42,0.13,0.195540423,0.033
PNM,canopy,Machaerium,riparium,liana,evergreen,180,23,12.45,0.3086,1.0315,0.02557,1.792,0.0444,0.108,0.00269,40.34,NA,NA,NA
PNM,canopy,Mikania,leiostachya,vine,evergreen,213,74,14.6,0.1852,0.212,0.00269,1.484,0.0188,0.105,0.00133,78.82,0.37,0.213038376,0.046
PNM,understory,Mikania,leiostachya,vine,evergreen,256.5,30,2.712,NA,0.3007,NA,NA,NA,NA,NA,NA,0.29,NA,NA
PNM,canopy,Nectandra,cuspidata,tree,evergreen,252,161,18.5,0.2103,0.848,0.00964,2.128,0.0242,0.111,0.00126,87.95,0.18125,0.485245775,0.085
PNM,canopy,Pachyptera,kerere,liana,evergreen,372,6,14.95,0.2225,0.2824,0.0042,2.359,0.0351,0.099,0.00147,67.18,0.25,0.268736357,NA
PNM,canopy,Passiflora,vitifolia,vine,evergreen,61,25,6.305,0.1434,1.1785,0.0268,1.502,0.0342,0.086,0.00195,43.98,0.17,0.258679276,0.028
PNM,canopy,Philodendron,unidentified,NA,evergreen,90.5,68,11.018,0.2776,0.164,0.00413,1.114,0.0281,0.103,0.00259,39.69,0.27,0.146986953,0.014
PNM,understory,Philodendron,unidentified,NA,evergreen,150,9,2.558,0.133,0.056,0.00291,0.513,0.0266,0.042,0.00216,19.24,NA,NA,NA
PNM,canopy,Phryganocydi,corymbosa,liana,evergreen,89,78,10.843,0.197,2.99,0.05431,1.48,0.0269,0.082,0.00149,55.05,0.31,0.177580761,NA
PNM,understory,Phryganocydi,corymbosa,liana,evergreen,183,54,2.695,0.0634,1.3525,0.03181,0.925,0.0218,0.053,0.00124,42.51,NA,NA,NA
PNM,canopy,Piper,reticulatum,treelet,evergreen,241,77,8.973,0.1496,0.6045,0.01008,1.588,0.0265,0.153,0.00256,59.99,0.16,0.374957002,0.059
