sp,site,position,SampleID,Run,BagNo,%NPE,%WS,%AS,%Lignin,%Ash,%NDF,%ADF
ALBG,PNM,CAN,,1,1,61.76,15.52,10.35,12.37,0,38.24,22.72
AMPP,PNM,CAN,,1,2,61.65,12.77,13,12.55,0.03,38.35,25.58
AMPP,PNM,UNDER,,1,3,58.61,13.43,15.01,12.7,0.26,41.39,27.97
ANAE,PNM,CAN,,1,4,59.85,5.89,16.32,16.02,1.92,40.15,34.26
ANAE,PNM,UNDER,,1,5,60.41,9.02,14.28,13.95,2.34,39.59,30.57
ANNS,PNM,CAN,,1,6,58.42,15.8,15.57,9.89,0.32,41.58,25.79
ANNS,PNM,UNDER,,1,7,70.44,10.28,11.04,8.1,0.15,29.56,19.28
ANTT,PNM,CAN,,1,8,56.68,8.89,14.11,20.33,0,43.32,34.44
APEM,PNSL,CAN,,1,9,48.54,19.78,15.59,16.05,0.04,51.46,31.69
ARIM,PNM,CAN,,1,10,57.68,15.77,14.12,9.38,3.05,42.32,26.55
ARRP,PNM,CAN,,1,11,68.5,11.66,9.35,10.25,0.24,31.5,19.84
ASPC,PNSL,CAN,,1,13,62.45,10.34,12.5,14.72,0,37.55,27.21
ASTG,PNM,CAN,,1,14,69.69,12.39,9.58,8.34,0,30.31,17.92
ASTG,PNM,UNDER,,1,15,68.92,12.57,10.95,7.35,0.2,31.08,18.51
BONT,PNM,CAN,,1,16,59.46,10.5,16.13,13.86,0.04,40.54,30.04
BROU,PNSL,UNDER,,1,17,51.96,7.98,22.48,17.42,0.16,48.04,40.06
BROU,PNSL,CAN,,1,18,52.17,7.63,19.23,20.81,0.17,47.83,40.2
CAL2,PNSL,UNDER,,1,19,51.49,3.43,25.11,19.93,0.05,48.51,45.08
CAL2,PNSL,CAN,,1,20,52.79,3.47,20.55,23.2,0,47.21,43.75
CARG,PNSL,CAN,,1,21,68.82,3.27,12.47,15.08,0.36,31.18,27.91
CAS4,PNM,CAN,,1,22,53.48,12.5,16.81,15.79,1.41,46.52,34.01
CAS4,PNM,UNDER,,1,23,51.27,10.96,25.98,9.78,2.01,48.73,37.77
ASPC,PNSL,UNDER,,1,24,54.55,5.48,20.49,19.48,0,45.45,39.97
CECI,PNSL,CAN,,2,25,59.64,6.97,17.17,15.48,0.74,40.36,33.39
CECL,PNM,CAN,,2,26,56.61,17.84,11.6,10.92,3.03,43.39,25.54
CECP,PNM,CAN,,2,27,62.51,9.95,12.51,14.23,0.8,37.49,27.54
CES1,PNSL,UNDER,,2,28,37.46,5.31,31.29,25.83,0.11,62.54,57.24
CES1,PNSL,CAN,,2,29,50.73,4.96,23.79,20.42,0.1,49.27,44.31
CHRC,PNM,CAN,,2,30,55.41,6.62,13.8,24.04,0.13,44.59,37.96
CHRC,PNM,UNDER,,2,31,53.69,12.26,15.83,16.95,1.26,46.31,34.05
CLU?,PNSL,CAN,,2,32,70.03,11.28,10.9,7.68,0.11,29.97,18.69
COCP,PNSL,CAN,,2,33,55.41,8.25,16.95,19.27,0.12,44.59,36.34
COMF,PNM,CAN,,2,34,63.28,13.56,9.92,11.22,2.02,36.72,23.15
CORA,PNM,CAN,,2,35,54.85,14.84,17.36,12.08,0.87,45.15,30.31
CORA,PNM,UNDER,,2,36,47.56,10.25,21.67,17.26,3.26,52.44,42.19
CORB,PNSL,UNDER,,2,37,47.16,10.85,22.44,18.08,1.46,52.84,41.99
DENA,PNSL,UNDER,,2,38,56.1,11.63,20.67,11.53,0.07,43.9,32.27
DIOG,PNM,UNDER,,2,39,45.31,18.88,17.96,17.69,0.15,54.69,35.81
DIOW,PNSL,CAN,,2,40,54.56,9.23,12.06,23.54,0.62,45.44,36.21
DOL1,PNM,UNDER,,2,41,49.2,15.25,15.41,15.36,4.78,50.8,35.56
DOL2,PNSL,UNDER,,2,42,51.07,14.25,16.66,17.9,0.12,48.93,34.68
DOLD,PNSL,CAN,,2,43,56,4.97,13.72,25.13,0.18,44,39.03
DUSM,PNSL,CAN,,2,44,51.97,9.83,17.8,20.32,0.08,48.03,38.19
FIIN,PNM,CAN,,2,45,59.9,12.85,15.16,8.55,3.54,40.1,27.25
FIPA,PNSL,CAN,,2,46,60.69,11.27,15.05,12.14,0.84,39.31,28.04
FORM,PNSL,CAN,,2,47,63.34,10.79,12.25,13.6,0.03,36.66,25.88
FORS,PNM,CAN,,3,49,63.02,14.44,9.47,12.94,0.14,36.98,22.54
FORV,PNSL,CAN,,3,50,59,8.11,12.92,19.89,0.08,41,32.89
GOUL,PNM,CAN,,3,51,60.45,16.42,13.7,9.28,0.16,39.55,23.13
GUA?,PNSL,CAN,,3,52,58.21,7.75,14.13,19.76,0.14,41.79,34.04
GUAD,PNSL,UNDER,,3,53,56.02,11.43,17.59,13.47,1.48,43.98,32.55
GUAD,PNSL,CAN,,3,54,57.84,11.48,14.54,15.53,0.6,42.16,30.68
GUAU,PNM,CAN,,3,55,44.46,33.72,11.79,9.65,0.39,55.54,21.82
