sp,DE,GF,LL,LMA,Aarea,Rarea,LMAp,LMAs,preLL,Narea,Parea,gr
Abies lasiocarpa,E,T,95.4992586021436,257.039578276886,2.95120922666639,0.870963589956081,15.682621160166125,241.35695711671988,NA,2.618183008218985,NA,Evergreen
Acacia colletioides,E,S,37.1535229097173,363.078054770101,8.51138038202377,1.99526231496888,118.86398193262359,244.21407283747743,NA,4.120975190973302,0.11066237839776664,Evergreen
Acacia doratoxylon,E,S,19.9526231496888,218.776162394955,14.4543977074593,1.47910838816821,116.1102652321156,102.66589716283941,NA,4.385306977749857,0.18155156627731356,Evergreen
Acacia floribunda,E,T,13.4896288259165,125.892541179417,10.9647819614319,1.25892541179417,57.57139291397125,68.32114826544574,NA,2.8973435877013234,0.0716143410212902,Evergreen
Acacia havilandiorum,E,S,20.8929613085404,416.869383470335,12.0226443461741,3.23593656929628,225.8148370149858,191.05454645534917,NA,3.8282474331682264,0.120781383510678,Evergreen
Acacia oswaldii,E,S,20.8929613085404,263.026799189538,13.1825673855641,1.41253754462275,141.78162051011904,121.24517867941896,NA,4.852885001621211,0.17701089583174212,Evergreen
Acacia suaveolens,E,S,29.5120922666639,218.776162394955,9.54992586021436,1.44543977074593,77.55228118202875,141.22388121292624,NA,4.216965034285822,0.0485288500162121,Evergreen
Acacia willhelmiana,E,S,12.0226443461741,162.181009735893,8.12830516164099,1.81970085860998,67.85488320739583,94.32612652849718,NA,3.0338911841942706,0.11694993910198709,Evergreen
Acer rubrum,D,T,5.37174167053699,61.6758465277276,7.10950672831674,0.767819238012599,27.41715507967918,34.258691448048424,NA,NA,NA,Deciduous
Acer saccharum,D,T,5.49540873857625,79.4328234724281,7.58577575029184,0.562341325190349,45.43896912132697,33.99385435110113,NA,NA,NA,Deciduous
Achillea millefolium,U,H,1,85.1138038202376,13.8038426460288,1.25892541179417,80.06408273594508,5.049721084292528,NA,1.5880224822781226,NA,Unclassified
Acomastylis rosii,U,H,1.99526231496888,83.1763771102671,10.7151930523761,1.73780082874938,68.73018862531974,14.446188484947356,NA,2.0989398836235242,NA,Unclassified
Adenanthos cygnorum,E,S,39.8107170553497,234.422881531992,13.8038426460288,1.02329299228075,96.27004851504483,138.15283301694717,NA,1.8323144223712116,NA,Evergreen
Aextoxicon punctatum,E,T,43.6515832240166,134.896288259165,5.62341325190349,0.501187233627272,19.5642860564624,115.3320022027026,NA,1.2716655670597654,NA,Evergreen
Agropyron repens,U,G,1.86653157185913,58.3067937859553,16.6283625282055,0.861050814079229,50.28214159495568,8.024652190999618,NA,1.284018367003239,NA,Unclassified
Ambrosia artemisiifolia,U,H,1.47910838816821,77.6247116628692,27.5422870333817,1.54881661891248,69.79875970643572,7.825951956433485,NA,1.9906733389871867,NA,Unclassified
Anacardium excelsum,E,T,8.51138038202377,83.1763771102671,10.471285480509,2.18776162394955,36.82517325775225,46.35120385251485,NA,NA,NA,Evergreen
Andersonia heterophylla,E,S,10.7151930523761,257.039578276886,8.51138038202377,3.09029543251359,135.0817075018764,121.95787077500961,NA,2.4322040090738155,NA,Evergreen
Andropogon gerardi,U,G,1.69941645950975,73.3508020162128,21.9832449870616,0.881574438779143,66.70639014567467,6.644411870538121,NA,1.0381484898974493,NA,Unclassified
