sp,DE,GF,LL,LMA,Aarea,Rarea,Narea,Parea
Abies lasiocarpa,E,T,95.49925860214358,257.03957827688646,2.9512092266663856,0.8709635899560807,2.618183008218985,NA
Acacia colletioides,E,S,37.15352290971726,363.0780547701014,8.511380382023766,1.9952623149688795,4.120975190973302,0.11066237839776664
Acacia doratoxylon,E,S,19.952623149688797,218.77616239495518,14.454397707459272,1.4791083881682074,4.385306977749857,0.18155156627731356
Acacia floribunda,E,T,13.489628825916533,125.89254117941675,10.964781961431852,1.2589254117941673,2.8973435877013234,0.0716143410212902
Acacia havilandiorum,E,S,20.892961308540396,416.8693834703355,12.02264434617413,3.2359365692962827,3.8282474331682264,0.120781383510678
Acacia oswaldii,E,S,20.892961308540396,263.02679918953817,13.182567385564074,1.4125375446227544,4.852885001621211,0.17701089583174212
Acacia suaveolens,E,S,29.512092266663856,218.77616239495518,9.549925860214358,1.4454397707459274,4.216965034285822,0.0485288500162121
Acacia willhelmiana,E,S,12.02264434617413,162.18100973589299,8.128305161640993,1.8197008586099834,3.0338911841942706,0.11694993910198709
Acer rubrum,D,T,5.371741670536986,61.67584652772756,7.109506728316736,0.7678192380125994,1.206444984484017,NA
Acer saccharum,D,T,5.495408738576246,79.43282347242814,7.5857757502918375,0.5623413251903491,1.4791083881682074,NA
Achillea millefolium,U,H,1,85.11380382023764,13.803842646028846,1.2589254117941673,1.5523870099580823,NA
Acomastylis rosii,U,H,1.9952623149688795,83.17637711026708,10.715193052376065,1.7378008287493754,2.0989398836235242,NA
Adenanthos cygnorum,E,S,39.810717055349734,234.42288153199226,13.803842646028846,1.023292992280754,1.8323144223712116,NA
Aextoxicon punctatum,E,T,43.65158322401658,134.89628825916532,5.623413251903491,0.5011872336272722,1.3243415351946646,NA
Agropyron repens,U,G,1.8665315718591273,58.306793785955335,16.62836252820555,0.8610508140792286,1.284018367003239,NA
Ambrosia artemisiifolia,U,H,1.4791083881682074,77.62471166286916,27.542287033381662,1.5488166189124815,1.9906733389871867,NA
Anacardium excelsum,E,T,8.511380382023766,83.17637711026708,10.471285480508996,2.1877616239495525,1.3963683610559376,NA
Andersonia heterophylla,E,S,10.715193052376065,257.03957827688646,8.511380382023766,3.0902954325135905,2.4322040090738155,NA
Andropogon gerardi,U,G,1.6994164595097452,73.35080201621284,21.983244987061564,0.8815744387791431,1.0381484898974493,NA
Anemone cylindrica,U,H,2.0892961308540396,93.3254300796991,15.488166189124811,1.3803842646028848,1.5595525028269537,NA
Antirrhoea trichantha,D,T,5.7543993733715695,93.3254300796991,19.498445997580454,1.6982436524617444,1.9230917289101583,NA
Arctostaphylos uva-ursi,E,S,18.197008586099834,128.82495516931337,4.36515832240166,0.6760829753919817,1.5703628043335525,NA
Asclepias syriaca,U,H,1.4125375446227544,63.09573444801933,18.197008586099834,1.5135612484362082,1.7619760464116292,NA
Astroloma xerophyllum,E,S,8.709635899560805,223.872113856834,9.772372209558107,1.5848931924611136,2.1877616239495525,NA
Astrotricha floccosa,E,S,6.165950018614822,83.17637711026708,11.748975549395297,0.7079457843841379,1.3061708881318415,0.05847900841444806
Atriplex canescens,U,H,7.079457843841379,251.18864315095797,16.982436524617444,3.0902954325135905,5.284452517751804,NA
Atriplex stipitata,E,S,6.309573444801933,83.17637711026708,19.498445997580454,3.019951720402016,2.41546083444494,0.10990058394325211
Austrocedrus chilensis,E,T,28.84031503126606,194.98445997580455,7.5857757502918375,1.202264434617413,2.137962089502232,NA
Baccharis angustifolia,U,T,2.51188643150958,95.49925860214358,18.620871366628677,1.6595869074375607,1.8578044550916986,NA
Banksia attenuata,E,T,29.512092266663856,281.8382931264455,26.302679918953814,1.8197008586099834,2.3120647901755946,NA
Banksia marginata,E,S,36.30780547701014,169.82436524617444,19.498445997580454,0.9772372209558107,1.4454397707459274,0.039174187710778303
Banksia menziesii,E,T,38.018939632056124,323.5936569296281,18.620871366628677,1.8197008586099834,2.5882129151530915,NA
Baptisia leucophaea,U,H,3.4673685045253166,93.3254300796991,14.791083881682072,3.3884415613920256,3.3806483620598162,NA
Bellucia grossularioides,U,T,8.31763771102671,128.82495516931337,14.12537544622754,1,2.1627185237270203,NA
Bertya cunninghamii,E,S,16.218100973589298,169.82436524617444,7.079457843841379,1.8197008586099834,3.2359365692962827,0.14387985782558455
Beyeria opaca,E,S,14.791083881682072,158.48931924611142,5.7543993733715695,1.4454397707459274,2.747894153102397,0.1193988104464273
Bistorta bistortoides,U,H,1.9952623149688795,83.17637711026708,11.220184543019636,2.344228815319922,3.2210687912834346,NA
Boronia ledifolia,E,S,19.498445997580454,158.48931924611142,8.709635899560805,1.096478196143185,1.8967059212111463,0.03507518739525679
Bossiaea eriocarpa,E,S,16.218100973589298,199.52623149688787,18.620871366628677,1.8620871366628675,3.81065823393773,NA
Bossiaea walkeri,E,S,56.23413251903491,316.22776601683796,11.220184543019636,2.5703957827688635,3.854783576657718,0.12050359403717974
Brachychiton populneus,E,T,13.182567385564074,128.85910751752874,8.59273731128364,0.7081334654969633,2.1331810759251453,0.11441416708103799
Bromus inermis,U,G,1.9952623149688795,56.23413251903491,8.709635899560805,0.7585775750291838,0.8892011178579484,NA
Callitris glaucophylla,E,T,30.902954325135905,234.42288153199226,6.309573444801933,0.9772372209558107,2.8313919957993794,0.20511621788255657
Calytrix flavescens,E,S,27.542287033381662,239.88329190194898,14.454397707459272,1.8197008586099834,2.4490632418447453,NA
Cassinia laevis,E,S,10,128.82495516931337,6.918309709189364,1.7782794100389228,2.4043628000069335,0.13489628825916536
Castilla elastica,D,T,5.7543993733715695,77.62471166286916,7.762471166286917,2.0892961308540396,1.6481623915255081,NA
Cecropia ficifolia,U,T,2.6915348039269156,69.18309709189366,17.78279410038923,1.2589254117941673,1.7100153150902877,NA
Cecropia longipes,D,T,2.884031503126606,114.81536214968828,19.952623149688797,2.51188643150958,3.0060763026282307,NA
Conostephium pendulum,E,S,26.915348039269155,213.79620895022325,10.964781961431852,1.8197008586099834,1.9724227361148536,NA
Correa reflexa,E,S,11.748975549395297,70.79457843841381,4.466835921509632,0.31622776601683794,0.8933054837332952,0.03334264127632349
Corymbia gummifera,E,T,14.454397707459272,186.20871366628674,12.882495516931343,1.2302687708123816,1.5205475297324955,0.05610479760324706
Cryptocarya alba,E,T,31.622776601683793,144.5439770745928,10.232929922807541,1.3489628825916535,1.233104833228909,NA
Dasyphyllum diacanthoides,E,T,15.848931924611133,131.82567385564073,9.549925860214358,1.023292992280754,1.5922087270511702,NA
Desmodium canadense,U,H,2.4547089156850306,63.09573444801933,12.02264434617413,0.7413102413009175,1.4893610777109152,NA
Dodonaea triquetra,E,S,8.128305161640993,95.49925860214358,20.892961308540396,1.023292992280754,1.7988709151287878,0.07481695005111545
Dodonaea viscosa angustissima,E,S,7.943282347242816,169.82436524617444,12.302687708123818,3.311311214825911,3.126079367123955,0.18967059212111465
Dodonaea viscosa cuneata,E,S,9.772372209558107,112.2018454301963,10,1.9498445997580451,2.2438819237827663,0.11015393095414151
Dodonaea viscosa spatulata,E,S,10.232929922807541,131.82567385564073,12.882495516931343,1.9498445997580451,2.618183008218985,0.1517050367459337
Drimys winteri,E,T,32.24581739482734,160.0042561606434,8.326459123401811,1.5553905985422494,1.2941416017153042,NA
Echinacea purpurea,U,H,3.9810717055349722,77.62471166286916,9.772372209558107,1.3489628825916535,1.1668096170609625,NA
Eleagnus angustifolia,U,T,3.019951720402016,81.2830516164099,14.12537544622754,1.9054607179632472,3.206269324505466,NA
Embothrium coccineum,E,T,7.079457843841379,102.32929922807536,14.12537544622754,1.5848931924611136,1.5523870099580823,NA
Eremaea pauciflora,E,S,14.12537544622754,199.52623149688787,14.12537544622754,1.7782794100389228,2.3014418174085085,NA
Eremophila deserti,E,S,28.84031503126606,218.77616239495518,9.120108393559097,1.2589254117941673,3.4753616144320585,0.19408858775927784
Eremophila glabra,E,S,16.613470106052443,158.53133581357054,13.579128415268105,1.804715753597803,2.8059096233565564,0.18957366058256173
Eremophila mitchelli,E,S,14.12537544622754,177.82794100389228,9.120108393559097,1.8620871366628675,3.3342641276323497,0.16826740610704674
Eriostemon australasius,E,S,12.02264434617413,147.91083881682073,10,1.2589254117941673,1.7579236139586927,0.05284452517751805
Erythronium americanum,U,H,1.9054607179632472,44.6683592150963,12.02264434617413,2.344228815319922,1.8923436186449756,NA
Eucalyptus dumosa,E,T,29.512092266663856,301.9951720402016,13.489628825916533,1.288249551693134,2.7415741719278826,0.14825180851459538
Eucalyptus haemostoma,E,T,18.620871366628677,199.52623149688787,12.02264434617413,1.1748975549395295,2.084490883097289,0.06792036326171846
Eucalyptus intertexta,E,T,15.848931924611133,181.97008586099827,18.197008586099834,1.2589254117941673,2.654605561975539,0.18578044550916986
Eucalyptus paniculata,E,T,13.182567385564074,120.22644346174131,9.120108393559097,0.7943282347242815,1.297179270983956,0.05741164622073274
Eucalyptus socialis,E,T,28.84031503126606,281.8382931264455,16.218100973589298,1.5135612484362082,3.4753616144320585,0.17378008287493754
Eucalyptus umbra,E,T,24.547089156850298,204.17379446695296,8.511380382023766,1.1220184543019633,1.8749945080674189,0.08035261221856173
Eucryphia cordifolia,E,T,30.399881826594704,133.36098105740302,10.610092271509817,0.7420964505064148,1.1983293917450881,NA
Eupatorium rugesum,U,H,4.786300923226384,21.379620895022324,6.918309709189364,0.954992586021436,0.835603018231248,NA
Eutaxia microphylla,E,S,11.748975549395297,89.12509381337455,9.549925860214358,1.62181009735893,1.6788040181225603,0.0693425806016569
Galax aphylla,U,H,18.197008586099834,79.43282347242814,4.897788193684462,0.7762471166286917,0.7112135136533291,NA
Geijera parviflora,E,T,29.512092266663856,186.20871366628674,10.471285480508996,1.096478196143185,3.198895109691398,0.19769696401118608
Gevuina avellana,E,T,52.48074602497726,154.88166189124811,8.912509381337454,1,1.2302687708123816,NA
Gompholobium grandiflorum,E,S,28.183829312644534,128.82495516931337,6.918309709189364,1.5488166189124815,1.5922087270511702,0.023334580622810033
Grevillea buxifolia,E,S,15.13561248436208,109.64781961431851,8.709635899560805,1.62181009735893,0.7780365510398041,0.02529297996446145
Grevillea speciosa,E,S,18.620871366628677,154.88166189124811,8.912509381337454,1.288249551693134,1.318256738556407,0.03689775985701503
Gutierrezia sarothrae,U,S,6.025595860743578,295.1209226666387,14.791083881682072,4.265795188015927,4.954501908047901,NA
Hakea dactyloides,E,S,41.68693834703355,257.03957827688646,12.589254117941675,1.1481536214968828,1.367728825595849,0.0460256573581356
Hakea tephrosperma,E,S,40.73802778041128,501.18723362727246,12.302687708123818,1.318256738556407,2.3388372386593548,0.09616122783836649
Hakea teretifolia,E,S,20.892961308540396,338.84415613920237,14.12537544622754,1.6595869074375607,1.1040786199020731,0.04487453899331321
Helianthus microcephalus,U,H,4.073802778041127,39.810717055349734,10.471285480508996,1.4125375446227544,1.0447202192208,NA
Hibbertia bracteata,E,S,10.964781961431852,109.64781961431851,6.760829753919817,0.8912509381337456,1.1455129414455356,0.029716660317380267
Hibbertia huegelii,E,S,14.791083881682072,181.97008586099827,12.882495516931343,1.0715193052376064,2.0183663636815607,NA
Hibbertia subvaginata,E,S,16.982436524617444,245.4708915685031,17.78279410038923,1.8197008586099834,3.2433961734934926,NA
Jacksonia floribunda,E,S,33.11311214825911,309.0295432513592,19.952623149688797,2.6302679918953817,5.000345349769784,NA
Juniperus monosperma,E,T,77.62471166286916,776.247116628692,7.762471166286917,3.715352290971725,9.141132414702502,NA
Kalmia latifolia,E,T,36.30780547701014,104.71285480508996,4.786300923226384,0.933254300796991,1.216186000646368,NA
Koeleria cristata,U,G,2.0451477162567953,115.68192826999382,18.863301086931383,2.519302535719844,1.8186269707446554,NA
Lambertia formosa,E,S,29.512092266663856,223.872113856834,9.33254300796991,0.8912509381337456,1.3396766874259352,0.050933087105719546
Larrea tridentata,E,S,12.02264434617413,251.18864315095797,18.197008586099834,1.9498445997580451,4.897788193684462,NA
Lasiopetalum ferrugineum,E,S,23.9883291901949,120.22644346174131,8.128305161640993,0.4786300923226383,1.4028137045619582,0.036391503612720706
Laurelia philippiana,E,T,26.915348039269155,162.18100973589299,6.456542290346556,1,2.3388372386593548,NA
Leptospermum polygalifolium,E,S,7.413102413009175,91.20108393559097,8.511380382023766,1.288249551693134,1.1967405313072434,0.041304750199016145
Leptospermum trinervium,E,S,22.3872113856834,128.82495516931337,4.466835921509632,1.5848931924611136,1.099005839432521,0.032136605386403165
Lespedeza capitata,U,H,1.5488166189124815,102.32929922807536,15.13561248436208,1.2302687708123816,2.1577444091526665,NA
Leucopogon conostephioides,E,S,14.12537544622754,158.48931924611142,6.456542290346556,1.7378008287493754,1.7378008287493754,NA
Licania heteromorpha,E,T,39.810717055349734,147.91083881682073,7.943282347242816,0.7762471166286917,1.931968317016924,NA
Liriodendron tulipifera,D,T,5.248074602497725,60.25595860743578,10.232929922807541,0.8511380382023764,1.3583134465871542,NA
Lomatia hirsuta,E,T,23.9883291901949,123.02687708123811,8.912509381337454,1,1.0375284158180127,NA
Lomatia silaifolia,E,S,27.542287033381662,141.2537544622754,5.88843655355589,0.8128305161640993,0.8649679187756932,0.04477133041763626
Luehea seemannii,D,T,6.309573444801933,138.03842646028852,18.620871366628677,2.9512092266663856,2.7733201046518405,NA
Luma apiculata,E,T,20.655170377617846,150.10971809809075,9.180617542224267,1.4365713720771238,1.6991240993019368,NA
Lupinus perennis,U,H,0.933254300796991,64.56542290346556,20.892961308540396,1.9054607179632472,2.3878112829131775,NA
Lyginia barbata,E,G,45.708818961487495,676.0829753919819,20.417379446695296,2.6915348039269156,4.830588020397728,NA
Lyonia lucida,E,S,19.498445997580454,239.88329190194898,6.165950018614822,1.3803842646028848,2.1877616239495525,NA
Macrozamia riedlei,E,S,104.71285480508996,288.40315031266056,11.748975549395297,0.954992586021436,5.023425895223871,NA
Manihot esculenta,U,S,1.5135612484362082,36.30780547701014,16.982436524617444,1.202264434617413,1.4454397707459274,NA
Melaleuca acerosa,E,S,24.547089156850298,331.1311214825911,16.218100973589298,2.6915348039269156,2.8248799749157074,NA
Melaleuca uncinata,E,S,16.613470106052443,331.0138447235034,12.837291125239453,2.8847960789654197,2.5364429566188784,0.17702530050852416
Miconia dispar,U,T,12.02264434617413,109.64781961431851,10.232929922807541,0.5754399373371569,1.7619760464116292,NA
Myrceugenia planipes,E,T,36.30780547701014,131.82567385564073,6.165950018614822,0.7079457843841379,1.333521432163324,NA
Nothofagus dombeyi,E,T,17.203510428574035,128.96158267020172,11.22315908820034,1.3226474075278332,1.9398844814469232,NA
Nuytsia floribunda,E,T,28.183829312644534,457.0881896148752,12.882495516931343,2.2387211385683394,3.4914031547858615,NA
Ocotea costulata,E,T,38.90451449942807,128.82495516931337,5.88843655355589,0.6456542290346555,1.9543394557753946,NA
Olearia decurrens,E,S,11.220184543019636,154.88166189124811,10.232929922807541,1.5848931924611136,2.6668586645214796,0.1318256738556407
Olearia pimelioides,E,S,11.46197551979397,109.90952736101414,6.758435269829244,1.7636354076610887,2.654775018543048,0.13678228769627993
Patersonia occidentalis,E,H,28.84031503126606,380.1893963205613,15.488166189124811,1.9054607179632472,3.273406948788382,NA
Persea borbonia,E,S,18.197008586099834,112.2018454301963,6.760829753919817,0.7413102413009175,1.823895702319638,NA
Persea lingue,E,T,33.11311214825911,104.71285480508996,8.128305161640993,0.44668359215096315,1.0519618738232228,NA
Persoonia levis,E,S,45.708818961487495,181.97008586099827,8.128305161640993,0.5623413251903491,1.076465213629835,0.04375221051582521
Persoonia linearis,E,T,40.73802778041128,144.5439770745928,7.413102413009175,0.7079457843841379,1.093956366272094,0.07144963260755134
Persoonia saccata,E,S,29.512092266663856,457.0881896148752,19.054607179632473,2.4547089156850306,3.2885163087598306,NA
Petrophile linearis,E,S,41.68693834703355,549.5408738576248,21.87761623949553,3.3884415613920256,3.3884415613920256,NA
Philotheca difformis,E,S,22.984977609450816,226.62540566885446,10.132559456295212,3.0570926049956078,3.2511220550104403,0.1508071902339149
Phyllota phylicoides,E,S,22.3872113856834,120.22644346174131,8.31763771102671,1.7782794100389228,1.4791083881682074,0.021478304741305344
Picea engelmanii,E,T,89.12509381337455,309.0295432513592,3.548133892335755,0.9772372209558107,3.1477483141013156,NA
Picea glauca,E,T,60.25595860743578,288.40315031266056,6.606934480075959,1.1481536214968828,3.5399734108343472,NA
Pimelea linifolia,E,S,12.589254117941675,57.543993733715695,7.943282347242816,1.318256738556407,0.84527884516029,0.03019951720402016
Pimelea microcephala,E,S,7.5857757502918375,81.2830516164099,10.715193052376065,2.1877616239495525,2.4774220576332855,0.15595525028269536
Pinus banksiana,E,T,26.915348039269155,245.4708915685031,7.5857757502918375,1.4791083881682074,3.0269134281013055,NA
Pinus flexilis,E,T,36.30780547701014,363.0780547701014,9.772372209558107,1.4791083881682074,4.1020410298660686,NA
Pinus palustris,E,T,32.359365692962825,257.03957827688646,3.890451449942806,0.9120108393559098,2.0941124558508926,NA
Pinus rigida,E,T,33.11311214825911,204.17379446695296,11.220184543019636,1.0715193052376064,2.371373705661655,NA
Pinus serotina,E,T,26.915348039269155,275.4228703338166,4.073802778041127,1.202264434617413,2.28559880337543,NA
Pinus strobus,E,T,20.892961308540396,122.27205393674191,6.025595860743578,0.5966493348352712,1.8825374628781144,NA
Pinus sylvestris,E,T,26.915348039269155,295.1209226666387,10.232929922807541,1.8197008586099834,4.092606597300109,NA
Poa pratensis,U,G,3.019951720402016,100,30.19951720402016,3.4673685045253166,1.8197008586099834,NA
Podocarpus nubigena,E,T,77.62471166286916,199.52623149688787,7.943282347242816,0.831763771102671,1.4996848355023735,NA
Podocarpus saligna,E,T,26.08607925141972,167.8915279949653,6.165950018614822,0.8971641173621407,1.7497158193645022,NA
Podophyllum peltatum,U,H,3.019951720402016,30.902954325135905,6.456542290346556,0.831763771102671,1.2852866599436155,NA
Pomaderris ferruginea,E,S,11.481536214968829,97.72372209558107,7.5857757502918375,0.5623413251903491,1.2676518658578455,0.04045758916974426
Populus deltoides,D,T,5.011872336272722,91.20108393559097,14.791083881682072,1.2589254117941673,2.147830474130534,NA
Populus fremontii,U,T,3.019951720402016,120.22644346174131,14.454397707459272,1.7378008287493754,1.981527025805098,NA
Populus tremuloides,D,T,5.011872336272722,83.17637711026708,12.02264434617413,1.8620871366628675,1.8281002161427427,NA
Prosopis glandulosa,U,T,7.079457843841379,194.98445997580455,17.78279410038923,1.5135612484362082,4.864072056914616,NA
Protium sp1,E,T,33.11311214825911,114.81536214968828,4.073802778041127,0.6918309709189365,0.9931160484209338,NA
Protium sp2,E,T,34.673685045253166,123.02687708123811,8.128305161640993,0.7079457843841379,2.1577444091526665,NA
Prumnopitys andina,E,T,33.884415613920254,147.91083881682073,5.623413251903491,0.6025595860743578,1.367728825595849,NA
Psychrophila leptosepala,U,H,2.51188643150958,79.43282347242814,8.709635899560805,1.202264434617413,2.3014418174085085,NA
Pterocaulon pycnostachyum,U,H,5.1286138399136485,81.2830516164099,7.762471166286917,1.2589254117941673,1.5922087270511702,NA
Pultenea daphnoides,E,S,9.33254300796991,93.3254300796991,9.549925860214358,0.8709635899560807,1.8365383433483464,0.033884415613920256
Pultenea flexilis,E,S,16.595869074375607,91.20108393559097,10,1.1481536214968828,1.8450154191794736,0.04073802778041128
Quercus coccinea,D,T,5.7543993733715695,85.11380382023764,9.772372209558107,0.9772372209558107,1.4655478409559115,NA
Quercus ellipsoidalis,U,T,6.025595860743578,104.71285480508996,13.182567385564074,1.3803842646028848,2.2080047330188997,NA
Quercus laevis,D,T,7.5857757502918375,102.32929922807536,6.760829753919817,0.6456542290346555,1.1776059735208073,NA
Quercus virginia var geminata,U,T,10.964781961431852,158.48931924611142,12.882495516931343,0.9120108393559098,2.4490632418447453,NA
Regelia ciliata,E,S,19.054607179632473,154.88166189124811,14.791083881682072,1.4791083881682074,1.741806873391614,NA
Rhododendron maximum,E,T,47.86300923226383,204.17379446695296,6.918309709189364,0.7762471166286917,1.7579236139586927,NA
Robinia pseudoacacia,D,T,4.570881896148751,38.018939632056124,9.33254300796991,1.202264434617413,1.6405897731995394,NA
Rudbeckia serotina,U,H,1.5488166189124815,70.79457843841381,20.417379446695296,1.2302687708123816,1.53108746168203,NA
Salix glauca,D,T,3.019951720402016,81.2830516164099,10.232929922807541,1.4454397707459274,2.1428906011200586,NA
Salix planifolia,U,T,3.019951720402016,81.2830516164099,12.302687708123818,1.9952623149688795,2.1727011788637447,NA
Sanguinaria canadensis,U,H,3.9810717055349722,30.902954325135905,7.943282347242816,2.041737944669529,1.6710906143107076,NA
