"sp","DE","GF","LL","LMA","Aarea","Rarea","LMAp","LMAs","preLL","Narea","Parea","gr"
"Abies lasiocarpa","E","T",95.4992586021436,257.039578276886,2.95120922666639,0.870963589956081,8.6279391177621,248.411639159124,43.8710320789866,2.61818300821899,NA,"Evergreen"
"Acacia colletioides","E","S",37.1535229097173,363.078054770101,8.51138038202377,1.99526231496888,124.79498135163,238.283073418471,40.8906698910341,4.1209751909733,0.110662378397767,"Evergreen"
"Acacia doratoxylon","E","S",19.9526231496888,218.776162394955,14.4543977074593,1.47910838816821,104.686010674884,114.090151720071,20.8399220788498,4.38530697774986,0.181551566277314,"Evergreen"
"Acacia floribunda","E","T",13.4896288259165,125.892541179417,10.9647819614319,1.25892541179417,55.1486166017602,70.7439245776568,13.7012859346087,2.89734358770132,0.0716143410212902,"Evergreen"
"Acacia havilandiorum","E","S",20.8929613085404,416.869383470335,12.0226443461741,3.23593656929628,278.862218117861,138.007165352474,24.0402922920417,3.82824743316823,0.120781383510678,"Evergreen"
"Acacia oswaldii","E","S",20.8929613085404,263.026799189538,13.1825673855641,1.41253754462275,123.814013401424,139.212785788114,24.7447619877083,4.85288500162121,0.177010895831742,"Evergreen"
"Acacia suaveolens","E","S",29.5120922666639,218.776162394955,9.54992586021436,1.44543977074593,69.3592678091781,149.416894585777,27.1042903951459,4.21696503428582,0.0485288500162121,"Evergreen"
"Acacia willhelmiana","E","S",12.0226443461741,162.181009735893,8.12830516164099,1.81970085860998,86.0928680762068,76.0881416596862,14.25633394905,3.03389118419427,0.116949939101987,"Evergreen"
"Acer rubrum","D","T",5.37174167053699,61.6758465277276,7.10950672831674,0.767819238012599,25.2065248181705,36.4693217095571,7.46655684498899,NA,NA,"Deciduous"
"Acer saccharum","D","T",5.49540873857625,79.4328234724281,7.58577575029184,0.562341325190349,29.1823416867007,50.2504817857274,9.80222101135482,NA,NA,"Deciduous"
"Achillea millefolium","U","H",1,85.1138038202376,13.8038426460288,1.25892541179417,79.7833705469086,5.33043327332904,1.25021699882122,1.58802248227812,NA,"Unclassified"
"Acomastylis rosii","U","H",1.99526231496888,83.1763771102671,10.7151930523761,1.73780082874938,72.2290497056305,10.9473274046366,2.41043201421061,2.09893988362352,NA,"Unclassified"
"Adenanthos cygnorum","E","S",39.8107170553497,234.422881531992,13.8038426460288,1.02329299228075,61.4108277291103,173.012053802882,31.2281633389793,1.83231442237121,NA,"Evergreen"
"Aextoxicon punctatum","E","T",43.6515832240166,134.896288259165,5.62341325190349,0.501187233627272,7.6318653236422,127.264422935523,24.0691460319278,1.27166556705977,NA,"Evergreen"
"Agropyron repens","U","G",1.86653157185913,58.3067937859553,16.6283625282055,0.861050814079229,48.0516052250434,10.2551885609119,2.28154927351528,1.28401836700324,NA,"Unclassified"
"Ambrosia artemisiifolia","U","H",1.47910838816821,77.6247116628692,27.5422870333817,1.54881661891248,70.1190384902769,7.50567317259228,1.72790376038454,1.99067333898719,NA,"Unclassified"
"Anacardium excelsum","E","T",8.51138038202377,83.1763771102671,10.471285480509,2.18776162394955,46.9507469368253,36.2256301734418,7.4438417000841,NA,NA,"Evergreen"
"Andersonia heterophylla","E","S",10.7151930523761,257.039578276886,8.51138038202377,3.09029543251359,187.982201347119,69.0573769297674,12.6752298477454,2.43220400907382,NA,"Evergreen"
"Andropogon gerardi","U","G",1.69941645950975,73.3508020162128,21.9832449870616,0.881574438779143,64.0964057526494,9.25439626356336,2.07467231376016,1.03814848989745,NA,"Unclassified"
"Anemone cylindrica","U","H",2.08929613085404,93.3254300796991,15.4881661891248,1.38038426460288,81.6932522328215,11.6321778468776,2.54945495359007,1.36183926611872,NA,"Unclassified"
"Antirrhoea trichantha","D","T",5.75439937337157,93.3254300796991,19.4984459975805,1.69824365246174,64.9538376142846,28.3715924654145,5.85647801906611,1.92309172891016,NA,"Deciduous"
"Arctostaphylos uva-ursi","E","S",18.1970085860998,128.824955169313,4.36515832240166,0.676082975391982,11.4706512114375,117.354303957876,22.3163461547959,1.89939897680193,NA,"Evergreen"
"Asclepias syriaca","U","H",1.41253754462275,63.0957344480193,18.1970085860998,1.51356124843621,55.8015090220305,7.29422542598876,1.68170355301652,NA,NA,"Unclassified"
"Astroloma xerophyllum","E","S",8.7096358995608,223.872113856834,9.77237220955811,1.58489319246111,158.260117295059,65.6119965617751,11.933178054672,2.18776162394955,NA,"Evergreen"
