"sp","DE","GF","LL","LMA","Aarea","Rarea","LMAp","LMAs","gr"
"Abies lasiocarpa","E","T",22.3872113856834,95.4992586021436,4.89778819368446,1.81970085860998,46.3862330620224,49.1130229804094,"Evergreen"
"Acacia colletioides","E","S",23.4422881531992,549.540873857625,22.151588074173,2.34422881531992,292.437293520885,257.10354470866,"Evergreen"
"Acacia doratoxylon","E","S",28.8403150312661,81.2830516164099,8.12830516164099,1.62181009735893,40.9276696280286,40.355381350265,"Evergreen"
"Acacia floribunda","E","T",47.8630092322638,169.824365246174,9.77237220955811,1.25892541179417,84.2886083432766,85.5357547043319,"Evergreen"
"Acacia havilandiorum","E","S",19.4984459975805,234.422881531992,9.1201083935591,1.20226443461741,114.898057523332,119.524820324666,"Evergreen"
"Acacia oswaldii","E","S",60.2559586074358,104.71285480509,7.76247116628692,0.742096450506415,49.1101424535201,55.6027120542734,"Evergreen"
"Acacia suaveolens","E","S",40.7380277804113,199.526231496888,9.33254300796991,1.28824955169313,101.482813656087,98.0434138559815,"Evergreen"
"Acacia willhelmiana","E","S",95.4992586021436,154.881661891248,13.4896288259165,0.380189396320561,76.6995629474032,78.1820974468182,"Evergreen"
"Acer rubrum","D","T",19.9526231496888,81.2830516164099,12.5892541179417,1.17489755493953,40.0775258924353,41.2055251084877,"Deciduous"
"Acer saccharum","D","T",1.90546071796325,109.647819614319,7.41310241300917,1.47910838816821,54.2610324213898,55.386782287572,"Deciduous"
"Achillea millefolium","U","H",4.07380277804113,144.543977074593,12.8824955169313,1.73780082874938,75.1360155842703,69.4079583248231,"Unclassified"
"Acomastylis rosii","U","H",15.8489319246111,218.776162394955,12.3026877081238,1.23026877081238,109.513016797498,109.26313924767,"Unclassified"
"Adenanthos cygnorum","E","S",6.30957344480193,134.896288259165,12.3026877081238,2.08929613085404,69.568117491534,65.328170135436,"Evergreen"
"Aextoxicon punctatum","E","T",1.51356124843621,301.995172040202,4.46683592150963,0.707945784384138,138.325753888563,163.669413007162,"Evergreen"
"Agropyron repens","U","G",19.0546071796325,128.824955169313,5.62341325190349,1.90546071796325,64.0205308081931,64.804356794387,"Unclassified"
"Ambrosia artemisiifolia","U","H",3.01995172040202,245.470891568503,20.8929613085404,0.831763771102671,123.366614604101,122.104275679064,"Unclassified"
"Anacardium excelsum","E","T",33.1131121482591,380.189396320561,14.7910838816821,3.38844156139203,201.029428150914,179.159847056706,"Evergreen"
"Andersonia heterophylla","E","S",3.01995172040202,125.892541179417,19.9526231496888,0.812830516164099,64.3088259799511,61.5837141927946,"Evergreen"
"Andropogon gerardi","U","G",10.7151930523761,234.422881531992,10.9647819614319,1.14815362149688,115.458582839797,118.964298623879,"Unclassified"
"Anemone cylindrica","U","H",6.45654229034656,128.824955169313,16.9824365246174,5.62341325190349,67.5277525325095,61.2971869368891,"Unclassified"
"Antirrhoea trichantha","D","T",7.07945784384138,199.526231496888,8.51138038202377,1.81970085860998,102.053238007126,97.4729808028143,"Deciduous"
"Arctostaphylos uva-ursi","E","S",33.1131121482591,309.029543251359,12.8824955169313,1.44543977074593,156.680314476904,152.349224211599,"Evergreen"
"Asclepias syriaca","U","H",3.01995172040202,56.9661770165117,6.91830970918936,1.65958690743756,28.5363198514316,28.4298570918495,"Unclassified"
"Astroloma xerophyllum","E","S",6.45654229034656,83.1763771102671,9.1201083935591,4.26579518801593,41.4018137876838,41.7745632836571,"Evergreen"
"Astrotricha floccosa","E","S",11.4815362149688,186.208713666287,18.6208713666287,1.25892541179417,94.8648706880213,91.3438385256227,"Evergreen"
"Atriplex canescens","U","H",7.94328234724282,100,14.1253754462275,0.91201083935591,50.5284716558627,49.4715238088953,"Unclassified"
"Atriplex stipitata","E","S",31.6227766016838,416.869383470335,12.0226443461741,0.881574438779143,202.581559573647,214.287820905486,"Evergreen"
"Austrocedrus chilensis","E","T",40.7380277804113,85.1138038202376,9.1201083935591,1.81970085860998,43.3417978661476,41.7720050565286,"Evergreen"
"Baccharis angustifolia","U","T",26.9153480392692,199.526231496888,4.78630092322638,1.58489319246111,96.3385584182753,103.187665301961,"Unclassified"
"Banksia attenuata","E","T",2.51188643150958,338.844156139202,10.2329299228075,0.870963589956081,166.830059246674,172.014094909973,"Evergreen"
"Banksia marginata","E","S",3.63078054770101,288.403150312661,9.54992586021436,2.45470891568503,151.318865730308,137.084238801546,"Evergreen"
"Banksia menziesii","E","T",77.6247116628692,83.1763771102671,8.51138038202377,1.90546071796325,42.4533660570506,40.723010727602,"Evergreen"
"Baptisia leucophaea","U","H",1.47910838816821,251.188643150958,19.4984459975805,2.34422881531992,135.900465865907,115.288088643715,"Unclassified"
"Bellucia grossularioides","U","T",11.2201845430196,194.984459975805,11.2201845430196,1.25892541179417,97.5183137168082,97.4661461581023,"Unclassified"
"Bertya cunninghamii","E","S",33.1131121482591,75.226672993953,9.54992586021436,1.90546071796325,38.3296540696944,36.8969970685073,"Evergreen"
"Beyeria opaca","E","S",2.08929613085404,104.71285480509,10.1325594562952,2.95120922666639,54.4244207784484,50.2884321099249,"Evergreen"
"Bistorta bistortoides","U","H",18.1970085860998,186.208713666287,18.6208713666287,1.28824955169313,95.4519996458822,90.7567138940257,"Unclassified"
"Boronia ledifolia","E","S",1,75.8577575029184,15.4881661891248,1.07151930523761,38.5369059565373,37.3208512091144,"Evergreen"
"Bossiaea eriocarpa","E","S",38.9045144994281,91.201083935591,9.33254300796991,3.01995172040202,46.9094048940348,44.2916790007537,"Evergreen"
"Bossiaea walkeri","E","S",7.41310241300917,123.026877081238,11.2201845430196,1.81970085860998,62.4697451263715,60.5571304694648,"Evergreen"
"Brachychiton populneus","E","T",1.54881661891248,144.543977074593,21.9832449870616,0.758577575029184,74.4348137740419,70.109057342638,"Evergreen"
"Bromus inermis","U","G",16.2181009735893,105.407592786826,19.0546071796325,0.954992586021436,53.2644671276007,52.1431008749292,"Unclassified"
"Callitris glaucophylla","E","T",16.6134701060524,245.470891568503,12.3026877081238,1.65958690743756,125.263268465811,120.207617454714,"Evergreen"
"Calytrix flavescens","E","S",33.8844156139203,776.247116628692,14.1253754462275,3.31131121482591,409.094210117458,367.152873587859,"Evergreen"
"Cassinia laevis","E","S",14.4543977074593,102.329299228075,10.471285480509,0.676082975391982,49.696873505283,52.6324207626499,"Evergreen"
"Castilla elastica","D","T",29.5120922666639,120.226443461741,18.1970085860998,1.23026877081238,61.1644562465284,59.0619866252216,"Deciduous"
"Cecropia ficifolia","U","T",29.5120922666639,263.026799189538,9.77237220955811,1.73780082874938,134.393485084389,128.633313632872,"Unclassified"
