sp,DE,GF,LL,LMA,Aarea,Rarea,LMAp,LMAs,LMAp_lo,LMAs_lo,LMAp_up,LMAs_up
Abies lasiocarpa,E,T,95.4992586021436,257.039578276886,2.95120922666639,0.870963589956081,16.95042946854836,110.21280500190542,8.570313600950268,1381262193892.9717,2844786711404591e41,15422086108863958e162
Acacia colletioides,E,S,37.1535229097173,363.078054770101,8.51138038202377,1.99526231496888,46.63638000191878,77.55630538820107,256.90258527309635,3122218.776192588,1754259239724672e89,11979865600529998e121
Acacia doratoxylon,E,S,19.9526231496888,218.776162394955,14.4543977074593,1.47910838816821,70.57424126344284,56.3696378306688,168124.8978524974,20930.795593014736,4259119485481096e108,16193506170689451e96
Acacia floribunda,E,T,13.4896288259165,125.892541179417,10.9647819614319,1.25892541179417,61.96581985837305,65.0284941180542,38018.95016990387,267870.74889658473,14069157676137956e97,47209147981337875e101
Acacia havilandiorum,E,S,20.8929613085404,416.869383470335,12.0226443461741,3.23593656929628,66.75596784591956,57.220743783898314,2306.9211859426528,4117.710517097949,5550958440991137e109,24978773663357322e101
Acacia oswaldii,E,S,20.8929613085404,263.026799189538,13.1825673855641,1.41253754462275,72.14216234157303,52.04720230192958,14110.824460390802,3103.85562028157,3664747938196406e118,10740389791824873e99
Acacia suaveolens,E,S,29.5120922666639,218.776162394955,9.54992586021436,1.44543977074593,53.001069370020645,75.17960345370452,2995.9827088386055,13058785.242683526,12565306346422377e92,3.1982630556144564e+128
Acacia willhelmiana,E,S,12.0226443461741,162.181009735893,8.12830516164099,1.81970085860998,48.18054745863066,75.05384588305262,232.65899703145237,608522.4498466457,455631535099837e94,14607173402812701e123
Acer rubrum,D,T,5.37174167053699,61.6758465277276,7.10950672831674,0.767819238012599,40.36160267487041,78.63997110223845,25.499528790716525,27356.55676289944,13278871320886659e91,34687992111466796e126
Acer saccharum,D,T,5.49540873857625,79.4328234724281,7.58577575029184,0.562341325190349,30.369138559512727,72.28498245391839,3.8248847909042087,95.12294683223529,17923167172581533e114,4742158691904969e138
Achillea millefolium,U,H,1,85.1138038202376,13.8038426460288,1.25892541179417,126.33546135756296,4.379451705273347,639953416491843,1.948875679462678,7990266366689993e181,28152477012.297398
