"sp","site","strata","SLA.leaf","SLA.disc","LL","Amass","Rmass","Amax","LMA.leaf","LMA","Aarea","Aarea.disc","Rarea","Rarea.disc","sp.site.strata","site2","sp_site_strata","site_strata","LMAp","LMAs","preLL","LMA_ra","LMAp_ra","LMAs_ra","preLL_ra","LMA_all","LMAp_all","LMAs_all","LL_all","Aarea_all","Rarea_all","preLL_all","LMAp_pot","LMAs_pot","preLL_pot","LMAp_pot_all","LMAs_pot_all","preLL_pot_all","ADF","NPE","Lig","LT","LD","Narea","Parea","LAMTUF","MDRBTUF","VEINTUF","cell_mass","cell_area","cell_vol"
"ABUP","PNSL","CAN",164.6655139,173.4103455,1.15068493150685,145.4819815,12.094682,8.835,60.7291700803419,57.6666863281234,8.83499999813865,8.38946379355435,0.734500000245649,0.6974602331324,"ABUP.PNSL.CAN","WET","ABUP_WET_CAN","WET_CAN",55.8920201764986,1.77466615162481,2.05439914961321,95.1148885748151,52.1142115042463,43.0006770705687,8.77601910757337,35.5919422896445,22.6186429796996,12.9732993099449,10.6520547945205,8.83499999813865,0.734500000245649,11.522612438988,18.1316505217672,39.5350358063562,8.65917811541325,21.2869693395318,14.3049729501126,8.97320034239464,NA,NA,NA,0.28,0.205952451171869,0.148847195866918,0.0056125898988252,0.3217,1.8993,2.7836,NA,NA,NA
"ADE1","PNSL","CAN",125.9939975,136.6989522,4.14246575342466,72.91902607,17.57616265,5.7875,79.3688604094016,73.1534502573897,5.78750000133935,5.33427834642905,1.39499999990079,1.28575694013257,"ADE1.PNSL.CAN","WET","ADE1_WET_CAN","WET_CAN",59.9327591378248,13.2206911195649,8.68487782922432,77.0949742825505,57.5131886630082,19.5817856195423,12.1038377507694,54.4984687401743,27.5778478264027,26.9206209137716,9.02465753424658,5.78750000133935,1.39499999990079,14.215755928013,21.5644535498437,51.588996707546,9.44701643704549,45.3495303333271,9.14893840684717,8.95671952500943,NA,NA,NA,0.32,0.228604532054343,0.122862995913754,0.0068439768331027,0.2364,1.6612,1.1728,NA,NA,NA
"ANES","PNSL","CAN",109.5409421,120.3109335,9.22191780821918,139.2265374,5.630404424,12.71,91.2900675153131,83.1179653343809,12.7099999991693,11.5722265092391,0.514000000005477,0.467987759732577,"ANES.PNSL.CAN","WET","ANES_WET_CAN","WET_CAN",46.6244126802395,36.4935526541414,9.6124579837236,38.9737266806065,16.5138696211661,22.4598570594404,8.61118919399531,91.3426039036825,55.9772999750671,35.3653039286154,44.1205479452055,12.7099999991693,0.514000000005477,5.47078658104734,49.6323148908078,33.485650443573,9.15180658226235,29.2907334451445,62.0518704585381,9.11028196515677,NA,NA,NA,0.21,0.395799834925623,0.189061729824213,0.0130636086614413,0.5617,3.6872,4.4951,NA,NA,NA
"ANOR","PNSL","CAN",115.3770233,115.8018854,8.81095890410959,119.8767272,12.09728089,10.39,86.6723695410159,86.3543798571003,10.389999999246,10.3518804366548,1.04849999973955,1.0446531892131,"ANOR.PNSL.CAN","WET","ANOR_WET_CAN","WET_CAN",54.6012322796496,31.7531475774508,10.4093322486191,128.259229576069,73.1134445209744,55.1457850550946,10.0484076973469,90.7156113337385,21.0270740513217,69.6885372824169,4.93150684931507,10.389999999246,1.04849999973955,3.46541030443145,45.8940269356385,40.4603529214619,9.33616404693806,59.1092976042681,31.6063137294704,8.89698898182883,NA,NA,NA,0.26,0.332132230219617,0.12116797261834,0.00750496047855657,0.6628,4.42,7.2265,NA,NA,NA
"APEM","PNSL","CAN",100.3403481,103.5598562,7.23287671232877,200.6806963,6.86829683,20,99.6608063391799,96.5625133805468,20.0000000099661,19.3782324216862,0.684500000254633,0.663220004548442,"APEM.PNSL.CAN","WET","APEM_WET_CAN","WET_CAN",74.9077975138303,21.6547158667164,6.21910817804108,34.629534013895,16.079280286926,18.550253726969,6.67715703425736,122.914198278386,84.5514379524844,38.3627603259013,8.33424657534247,20.0000000099661,0.684500000254633,3.66726366244998,72.5002093192128,24.062304061334,8.72601381321198,47.2794355118029,75.6347627665829,8.98228431077756,31.69,48.54,16.05,0.2325,0.4153226381959,0.197129074938898,0.011006539452099,1.052825,2.708475,3.2975,15.64,15.1023770927175,0.0649564606138388
"ARRV","PNSL","CAN",117.5579211,135.911336,7.3972602739726,117.0289105,2.33940263,9.955,85.0644508377581,73.5773798883119,9.95500000382365,8.61068060577375,0.199000000009357,0.172127116019226,"ARRV.PNSL.CAN","WET","ARRV_WET_CAN","WET_CAN",33.5897480067267,39.9876318815852,10.5599234740064,128.40285391614,28.8627885867165,99.5400653294239,10.6717411019733,91.9718596938304,32.2899223385378,59.6819373552927,5.91780821917808,9.95500000382365,0.199000000009357,8.36375769060205,31.1368290330125,42.4405508552994,9.35166853514826,10.3329375729233,81.6389221209072,8.99555640758844,NA,NA,NA,0.15,0.490515865922079,0.175998348783322,0.00717773836169003,0.4699,3.22685,4.886275,NA,NA,NA
"ASPC","PNSL","CAN",63.88633754,72.58641712,11.0794520547945,82.09394374,6.318358783,12.85,156.527989943685,137.766821903718,12.8500000001722,11.3098217266024,0.989000000046019,0.870460209181351,"ASPC.PNSL.CAN","WET","ASPC_WET_CAN","WET_CAN",88.3419681304207,49.4248537732969,14.5439656082258,35.7705014974482,22.2758849527991,13.4946165446491,8.3792485500087,68.4852634341542,30.1324963343632,38.352767099791,8.05479452054795,12.8500000001722,0.989000000046019,15.2089831725212,72.2718932894937,65.4949286142239,9.96269434224381,43.6785352594783,24.8067281746759,8.9486633133286,27.21,62.45,14.72,0.36625,0.376155145129604,0.245357624236727,0.0112418402377555,0.6996,3.664275,NA,12.49,17.2070760557743,0.0469817776266876
"BROU","PNSL","CAN",69.07996146,78.46942293,10.6520547945205,97.05734586,9.256714836,14.05,144.759779661869,127.438174343663,14.0500000012594,12.3688109630399,1.34000000005211,1.17965883911974,"BROU.PNSL.CAN","WET","BROU_WET_CAN","WET_CAN",89.6225437665719,37.8156305770915,11.788262397184,30.4383226981149,21.3647011539708,9.07362154414405,7.81111891580926,31.4829368980091,21.7918471960586,9.6910897019505,7.85753424657534,14.0500000012594,1.34000000005211,6.4770846531125,78.3195205909554,49.118653752708,9.60377417066988,25.4073731177394,6.07556378026974,8.88861387313018,40.2,52.17,20.81,0.3025,0.421283220970788,0.191517188492653,0.0130356181585513,1.71015,7.914375,9.55935,19.39,24.7102620052363,0.0816868165462358
"CAL2","PNSL","CAN",42.94119843,52.4750473,16.5041095890411,57.21914691,2.973677991,13.325,232.876593239505,190.566764863116,13.3250000004716,10.9040677148661,0.692499999935377,0.566684194489521,"CAL2.PNSL.CAN","WET","CAL2_WET_CAN","WET_CAN",93.7551241704605,96.8116406926557,23.3409224981183,42.2957315221765,20.0686723877903,22.2270591343862,8.58278962022271,137.766821903718,91.358210133183,46.4086117705346,5.68767123287671,13.3250000004716,0.692499999935377,7.2177315346703,84.5594190440741,106.007345819042,10.7392278896677,56.1266528120102,81.6401690917074,8.96089191071107,43.75,52.79,23.2,0.44375,0.429446230677445,0.235205359171901,0.0115669803862062,1.864875,5.90885,NA,20.55,39.1614701793704,0.0882512004042149
"CARG","PNSL","CAN",72.46290136,77.87988892,22.6849315068493,29.36559077,5.644860016,4.0525,138.00165066976,128.40285391614,4.05249999915267,3.77062566180147,0.779000000007728,0.72481613601151,"CARG.PNSL.CAN","WET","CARG_WET_CAN","WET_CAN",23.10111042931,105.30174348683,39.5578901281901,137.766821903718,77.8464927140429,59.9203291896748,17.8480789265906,59.5726517580494,47.5640811320812,12.0085706259682,28.1424657534247,4.05249999915267,0.779000000007728,6.58093663300547,19.8164033195445,108.586450596596,10.8164591235145,37.5151796765812,22.0574720814682,9.14230255378734,27.91,68.82,15.08,0.2875,0.44661862231701,0.20106840502584,0.0145605541621664,0.6463,5.7371,4.77025,12.83,16.4740861574408,0.0573011692432724
