sp,site,strata,SLA_LEAF,SLA_DISC,LIFETIME,Amass,Rmass,Amax,N_PCT,P_PCT,LT,LAMTUF,MDRBTUF,VEINTUF,LMA_LEAF,LMA,LL,Aarea,Aarea_DISC,Rarea,Rarea_DISC,sp_site_strata,Narea,Parea,LD,SampleID,Run,BagNo,%NPE,%WS,%AS,Lig,%Ash,%NDF,ADF,site2,cell_mass,cell_area,cell_vol
ADE1,PNSL,CAN,125.9939975,136.6989522,126,72.91902607,17.57616265,5.7875,1.548,0.08623,0.32,0.2364,1.6612,1.1728,79.36886040940165,73.15345025738975,4.142465753424657,5.7875000013393505,5.334278346429051,1.394999999900789,1.2857569401325666,ADE1_PNSL_CAN,0.12286299591375376,0.0068439768331027,0.22860453205434297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WET,NA,NA,NA
ALBG,PNM,CAN,108.8820038,115.5234445,183,136.9191198,12.79363545,12.575,3.027,0.1013,0.19,0.3901,4.1777,4.5685,91.84254193529088,86.5625158882793,6.016438356164383,12.575000001974615,11.852063483096716,1.175000000321449,1.1074492719094784,ALBG_PNM_CAN,0.27800737443812545,0.00930364949804496,0.4555921888856805,NA,1,1,61.76,15.52,10.35,12.37,0,38.24,22.72,DRY,10.35,8.959220394436906,0.04715379154966792
AMPP,PNM,CAN,134.4509334,148.1443752,122,72.56989128,9.290559495,5.3975,2.517,0.1713,0.22,0.1827,0.7643,1.2721,74.37657550691277,67.50171909328084,4.010958904109589,5.397499998315371,4.89859241581249,0.6909999997813329,0.6271287372509031,AMPP_PNM_CAN,0.18720584055089945,0.01274070738433415,0.3068259958785493,NA,1,2,61.65,12.77,13,12.55,0.03,38.35,25.58,DRY,13.029999999999998,8.795473997854492,0.03997942726297496
ANAE,PNM,CAN,80.22122541,90.27216473,280,50.8923454,13.878272,6.344,1.271,0.14119,0.23,1.3451,5.8012,8.9376,124.65528853356868,110.77611830744894,9.205479452054794,6.3439999999870365,5.637656474973955,1.730000000507347,1.537381100974956,ANAE_PNM_CAN,0.15843687172616577,0.01760008018805456,0.4816352969889084,NA,1,4,59.85,5.89,16.32,16.02,1.92,40.15,34.26,DRY,18.24,20.205563979278683,0.08785027817077687
ANAE,PNM,UNDER,189.8346477,328.5332145,243,68.56194692,2.951928771,3.611666667,1.534,0.16084,0.16,0.6281,3.377,4.6209,52.67742280536284,30.4383226981149,7.989041095890411,3.611666666263684,2.086910665161985,0.1554999999612821,0.08985176051354772,ANAE_PNM_UNDER,0.0808071665834266,0.00847263668401456,0.1902395168632181,NA,1,5,60.41,9.02,14.28,13.95,2.34,39.59,30.57,DRY,16.62,5.058849232426697,0.03161780770266685
ANES,PNSL,CAN,109.5409421,120.3109335,280.5,139.2265374,5.630404424,12.71,2.071,0.1431,0.21,0.5617000000000001,3.6872,4.495100000000001,91.29006751531308,83.11796533438086,9.221917808219178,12.709999999169264,11.57222650923908,0.5140000000054774,0.4679877597325766,ANES_PNSL_CAN,0.1890617298242134,0.0130636086614413,0.3957998349256231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WET,NA,NA,NA
ANNS,PNM,UNDER,397.7819408,456.4214559,168.5,207.8410641,10.97878157,5.225,2.593,0.15929,0.21125,0.5454,4.182925,3.03285,25.13940170307501,21.909574737851408,5.53972602739726,5.225000000804462,4.553709327493515,0.27600000009854647,0.24054043533846065,ANNS_PNM_UNDER,0.06518646861607348,0.00400445529728281,0.10371396325610134,NA,1,7,70.44,10.28,11.04,8.1,0.15,29.56,19.28,DRY,11.18,2.449490455691788,0.01159522109203213
ANOR,PNSL,CAN,115.3770233,115.8018854,268,119.8767272,12.09728089,10.39,1.398,0.08659,0.26,0.6628,4.42,7.2265,86.67236954101588,86.35437985710033,8.810958904109588,10.389999999245951,10.351880436654792,1.0484999997395497,1.0446531892131006,ANOR_PNSL_CAN,0.1211679726183402,0.00750496047855656,0.33213223021961663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WET,NA,NA,NA
APEM,PNSL,CAN,100.3403481,103.5598562,220,200.6806963,6.86829683,20,1.978,0.11044,0.2325,1.052825,2.708475,3.2975,99.66080633917991,96.56251338054678,7.232876712328767,20.00000000996608,19.378232421686192,0.6845000002546333,0.663220004548442,APEM_PNSL_CAN,0.19712907493889784,0.01100653945209903,0.4153226381959001,NA,1,9,48.54,19.78,15.59,16.05,0.04,51.46,31.69,WET,15.64,15.102377092717516,0.06495646061383877
ARIC,PNM,CAN,127.1428571,113.2548111,173,154.4785714,15.21437662,12.15,2.624,0.14685,0.29,0.4461,1.8813,3.3323,78.65168541977023,88.29646972939942,5.6876712328767125,12.150000001848314,13.639912503460966,1.196636363774147,1.3433757446795125,ARIC_PNM_CAN,0.20638202254147708,0.01155000000389326,0.3044705852737911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DRY,NA,NA,NA
