LMA,looic,lp,N,div
PA_Ap_LLs_opt,451.20794253557773,-357.40547255474075,106,divergent
PA_Ap_LLps_opt,468.58615176312753,-371.56128305910073,106,OK
PA_Ap_LDs_opt,469.7209414621834,-372.75975453076575,106,OK
PA_Ap_LLps,474.10520101784033,-375.4790809727652,106,divergent
PA_Ap_LDps_opt,486.7410503675652,-387.9972787730659,106,OK
PA_Ap_LLs,497.12244188835797,-393.03434111421205,106,OK
PA_Aps_LLs_opt,500.17181700528164,-404.4730545909783,106,OK
PA_Aps_LLps_opt,501.4339650780207,-409.57153259547306,106,OK
PA_LMA_opt,503.38601325567885,-459.71299137057525,106,OK
PA_Aps_LDps_opt,504.0937671514657,-416.08944627762884,106,OK
PA_Aps_LDs_opt,508.6091214289632,-413.0350493737586,106,OK
PA_Aps_LLps,516.7993649907099,-418.7868515784053,106,divergent
PA_Aps_LLs,518.1270206735253,-425.6925061448802,106,divergent
PA_LMA,528.4896154423465,-472.7576517184644,106,OK
PA_Ap_LLs_opt_more,586.1099727875659,-456.6530080207025,130,OK
PA_Ap_LLps_opt_more,625.8701330891868,-486.2689067218614,130,OK
