"sp","site","strata","SLA_LEAF","SLA_DISC","LIFETIME","Amass","Rmass","Amax","N_PCT","P_PCT","LT","LAMTUF","MDRBTUF","VEINTUF","LMA_LEAF","LMA","LL","Aarea","Aarea_DISC","Rarea","Rarea_DISC","sp_site_strata","Narea","Parea","LD","SampleID","Run","BagNo","%NPE","%WS","%AS","Lig","%Ash","%NDF","ADF","site2","cell_mass","cell_area","cell_vol","gr","site_strata","LMAp","LMAs","preLL","LDs"
"ADE1","PNSL","CAN",125.9939975,136.6989522,126,72.91902607,17.57616265,5.7875,1.548,0.08623,0.32,0.2364,1.6612,1.1728,79.3688604094016,73.1534502573897,4.14246575342466,5.78750000133935,5.33427834642905,1.39499999990079,1.28575694013257,"ADE1_WET_CAN",0.122862995913754,0.0068439768331027,0.228604532054343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WET",NA,NA,NA,3,"WET_CAN",58.4597602543246,14.6936900030651,7.07366455462706,0.0459177812595785
"ALBG","PNM","CAN",108.8820038,115.5234445,183,136.9191198,12.79363545,12.575,3.027,0.1013,0.19,0.3901,4.1777,4.5685,91.8425419352909,86.5625158882793,6.01643835616438,12.5750000019746,11.8520634830967,1.17500000032145,1.10744927190948,"ALBG_DRY_CAN",0.278007374438125,0.00930364949804497,0.45559218888568,NA,1,1,61.76,15.52,10.35,12.37,0,38.24,22.72,"DRY",10.35,8.95922039443691,0.0471537915496679,1,"DRY_CAN",59.5444437107471,27.0180721775322,7.02371147854971,0.142200379881748
"AMPP","PNM","CAN",134.4509334,148.1443752,122,72.56989128,9.290559495,5.3975,2.517,0.1713,0.22,0.1827,0.7643,1.2721,74.3765755069128,67.5017190932808,4.01095890410959,5.39749999831537,4.89859241581249,0.690999999781333,0.627128737250903,"AMPP_DRY_CAN",0.187205840550899,0.0127407073843342,0.306825995878549,NA,1,2,61.65,12.77,13,12.55,0.03,38.35,25.58,"DRY",13.03,8.79547399785449,0.039979427262975,1,"DRY_CAN",42.5347131054511,24.9670059878297,8.90140601543155,0.113486390853771
"AMPP","PNM","UNDER",535.2625392,563.3448773,153,171.6408542,8.055701215,3.206666667,3.049,0.21612,NA,NA,NA,NA,18.6824208078263,17.7511155296699,5.03013698630137,3.20666666597915,3.04681663251542,0.150500000000747,0.142997682939967,"AMPP_DRY_UNDER",0.0569627010430623,0.00403764478498741,NA,NA,1,3,58.61,13.43,15.01,12.7,0.26,41.39,27.97,"DRY",15.27,2.71059534138059,NA,2,"DRY_UNDER",4.4411986936619,13.309916836008,8.39814094623205,NA
"ANAE","PNM","CAN",80.22122541,90.27216473,280,50.8923454,13.878272,6.344,1.271,0.14119,0.23,1.3451,5.8012,8.9376,124.655288533569,110.776118307449,9.20547945205479,6.34399999998704,5.63765647497396,1.73000000050735,1.53738110097496,"ANAE_DRY_CAN",0.158436871726166,0.0176000801880546,0.481635296988908,NA,1,4,59.85,5.89,16.32,16.02,1.92,40.15,34.26,"DRY",18.24,20.2055639792787,0.0878502781707769,1,"DRY_CAN",78.4999532040616,32.2761651033874,13.1974925385836,0.140331152623424
"ANAE","PNM","UNDER",189.8346477,328.5332145,243,68.56194692,2.951928771,3.611666667,1.534,0.16084,0.16,0.6281,3.377,4.6209,52.6774228053628,30.4383226981149,7.98904109589041,3.61166666626368,2.08691066516199,0.155499999961282,0.0898517605135477,"ANAE_DRY_UNDER",0.0808071665834266,0.00847263668401456,0.190239516863218,NA,1,5,60.41,9.02,14.28,13.95,2.34,39.59,30.57,"DRY",16.62,5.0588492324267,0.0316178077026669,2,"DRY_UNDER",5.71145283212576,24.7268698659891,14.1287777954931,0.154542936662432
"ANES","PNSL","CAN",109.5409421,120.3109335,280.5,139.2265374,5.630404424,12.71,2.071,0.1431,0.21,0.5617,3.6872,4.4951,91.2900675153131,83.1179653343809,9.22191780821918,12.7099999991693,11.5722265092391,0.514000000005477,0.467987759732577,"ANES_WET_CAN",0.189061729824213,0.0130636086614413,0.395799834925623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WET",NA,NA,NA,3,"WET_CAN",37.3769703839688,45.7409949504121,9.07436112098586,0.217814261668629
"ANNS","PNM","CAN",141.4510298,167.8622607,216,199.4459521,5.021511559,14.1,2.283,0.17161,NA,NA,NA,NA,70.6958444497659,59.5726517580494,7.1013698630137,14.1000000057971,11.8815242490059,0.355000000077765,0.299144759403327,"ANNS_DRY_CAN",0.161398612878816,0.0121321138660243,NA,NA,1,6,58.42,15.8,15.57,9.89,0.32,41.58,25.79,"DRY",15.9,9.47205162952985,NA,1,"DRY_CAN",25.621708613627,33.9509431444224,6.24881304559666,NA
"ANNS","PNM","UNDER",397.7819408,456.4214559,168.5,207.8410641,10.97878157,5.225,2.593,0.15929,0.21125,0.5454,4.182925,3.03285,25.139401703075,21.9095747378514,5.53972602739726,5.22500000080446,4.55370932749352,0.276000000098546,0.240540435338461,"ANNS_DRY_UNDER",0.0651864686160735,0.00400445529728282,0.103713963256101,NA,1,7,70.44,10.28,11.04,8.1,0.15,29.56,19.28,"DRY",11.18,2.44949045569179,0.0115952210920321,2,"DRY_UNDER",9.64617497464513,12.2633997632063,6.90509420572527,0.058051596512219
"ANOR","PNSL","CAN",115.3770233,115.8018854,268,119.8767272,12.09728089,10.39,1.398,0.08659,0.26,0.6628,4.42,7.2265,86.6723695410159,86.3543798571003,8.81095890410959,10.389999999246,10.3518804366548,1.04849999973955,1.0446531892131,"ANOR_WET_CAN",0.12116797261834,0.00750496047855657,0.332132230219617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WET",NA,NA,NA,3,"WET_CAN",51.748252313304,34.6061275437963,8.96647305308909,0.133100490553063
