"sp","site","strata","SLA_LEAF","SLA_DISC","LIFETIME","Amass","Rmass","Amax","N_PCT","P_PCT","LT","LAMTUF","MDRBTUF","VEINTUF","LMA_LEAF","LMA","LL","Aarea","Aarea_DISC","Rarea","Rarea_DISC","sp_site_strata","Narea","Parea","LD","SampleID","Run","BagNo","%NPE","%WS","%AS","Lig","%Ash","%NDF","ADF","site2","cell_mass","cell_area","cell_vol","gr","LMAp","LMAs","preLL","site_strata"
"ADE1","PNSL","CAN",125.9939975,136.6989522,126,72.91902607,17.57616265,5.7875,1.548,0.08623,0.32,0.2364,1.6612,1.1728,79.3688604094016,35.7705014974482,40.9808219178082,12.8749999959519,5.33427834642905,0.100849999996993,1.28575694013257,"ADE1_WET_CAN",0.122862995913754,0.0068439768331027,0.228604532054343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WET",NA,NA,NA,3,12.1227223626377,23.6477791346178,4.96608996948402,"WET_CAN"
"ALBG","PNM","CAN",108.8820038,115.5234445,183,136.9191198,12.79363545,12.575,3.027,0.1013,0.19,0.3901,4.1777,4.5685,91.8425419352909,85.5958166530554,5.03013698630137,22.4600000047577,11.8520634830967,1.48999999986474,1.10744927190948,"ALBG_DRY_CAN",0.278007374438125,0.00930364949804497,0.45559218888568,NA,1,1,61.76,15.52,10.35,12.37,0,38.24,22.72,"DRY",10.35,8.95922039443691,0.0471537915496679,1,26.0026887391841,59.5931268679377,9.45486204771737,"DRY_CAN"
"AMPP","PNM","CAN",134.4509334,148.1443752,122,72.56989128,9.290559495,5.3975,2.517,0.1713,0.22,0.1827,0.7643,1.2721,74.3765755069128,21.9095747378514,2.92602739726027,10.389999999246,4.89859241581249,0.150500000000747,0.627128737250903,"AMPP_DRY_CAN",0.187205840550899,0.0127407073843342,0.306825995878549,NA,1,2,61.65,12.77,13,12.55,0.03,38.35,25.58,"DRY",13.03,8.79547399785449,0.039979427262975,1,12.85562062795,9.05395410551303,2.71535178280868,"DRY_CAN"
"AMPP","PNM","UNDER",535.2625392,563.3448773,153,171.6408542,8.055701215,3.206666667,3.049,0.21612,NA,NA,NA,NA,18.6824208078263,34.629534013895,9.13972602739726,12.8249999991287,3.04681663251542,0.199000000009357,0.142997682939967,"AMPP_DRY_UNDER",0.0569627010430623,0.00403764478498741,NA,NA,1,3,58.61,13.43,15.01,12.7,0.26,41.39,27.97,"DRY",15.27,2.71059534138059,NA,2,15.8802794305743,18.7492526856961,4.99214816227505,"DRY_UNDER"
"ANAE","PNM","CAN",80.22122541,90.27216473,280,50.8923454,13.878272,6.344,1.271,0.14119,0.23,1.3451,5.8012,8.9376,124.655288533569,91.3426039036825,4.01095890410959,7.34000000049661,5.63765647497396,1.17500000032145,1.53738110097496,"ANAE_DRY_CAN",0.158436871726166,0.0176000801880546,0.481635296988908,NA,1,4,59.85,5.89,16.32,16.02,1.92,40.15,34.26,"DRY",18.24,20.2055639792787,0.0878502781707769,1,57.3192787759742,34.0233244259128,13.7887781629935,"DRY_CAN"
"ANAE","PNM","UNDER",189.8346477,328.5332145,243,68.56194692,2.951928771,3.611666667,1.534,0.16084,0.16,0.6281,3.377,4.6209,52.6774228053628,96.0792798562051,7.3972602739726,3.17333333328947,2.08691066516199,0.202499999976487,0.0898517605135477,"ANAE_DRY_UNDER",0.0808071665834266,0.00847263668401456,0.190239516863218,NA,1,5,60.41,9.02,14.28,13.95,2.34,39.59,30.57,"DRY",16.62,5.0588492324267,0.0316178077026669,2,82.2192087562972,13.8600709289066,15.0373118954611,"DRY_UNDER"
"ANES","PNSL","CAN",109.5409421,120.3109335,280.5,139.2265374,5.630404424,12.71,2.071,0.1431,0.21,0.5617,3.6872,4.4951,91.2900675153131,122.914198278386,7.85753424657534,3.20666666597915,11.5722265092391,0.958500000247894,0.467987759732577,"ANES_WET_CAN",0.189061729824213,0.0130636086614413,0.395799834925623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WET",NA,NA,NA,3,89.8562307292217,33.057966274996,26.0763017441767,"WET_CAN"
"ANNS","PNM","CAN",141.4510298,167.8622607,216,199.4459521,5.021511559,14.1,2.283,0.17161,NA,NA,NA,NA,70.6958444497659,190.566764863116,31.9232876712329,6.30500000047691,11.8815242490059,0.645500000238542,0.299144759403327,"ANNS_DRY_CAN",0.161398612878816,0.0121321138660243,NA,NA,1,6,58.42,15.8,15.57,9.89,0.32,41.58,25.79,"DRY",15.9,9.47205162952985,NA,1,103.837231975761,86.7295325862155,33.1128351392476,"DRY_CAN"
"ANNS","PNM","UNDER",397.7819408,456.4214559,168.5,207.8410641,10.97878157,5.225,2.593,0.15929,0.21125,0.5454,4.182925,3.03285,25.139401703075,39.0559453139279,9.36986301369863,14.1750000002218,4.55370932749352,0.12224999998524,0.240540435338461,"ANNS_DRY_UNDER",0.0651864686160735,0.00400445529728282,0.103713963256101,NA,1,7,70.44,10.28,11.04,8.1,0.15,29.56,19.28,"DRY",11.18,2.44949045569179,0.0115952210920321,2,19.5234200953836,19.5325249595974,5.14007785115258,"DRY_UNDER"
"ANOR","PNSL","CAN",115.3770233,115.8018854,268,119.8767272,12.09728089,10.39,1.398,0.08659,0.26,0.6628,4.42,7.2265,86.6723695410159,90.7156113337385,5.88493150684932,8.34750000369121,10.3518804366548,1.77999999964479,1.0446531892131,"ANOR_WET_CAN",0.12116797261834,0.00750496047855657,0.332132230219617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WET",NA,NA,NA,3,45.5193271861699,45.1962807236749,15.4061516605444,"WET_CAN"
"ANTT","PNM","CAN",147.1279109,145.6775126,180,138.9623118,22.06918664,9.445,2.014,0.14252,NA,NA,NA,NA,67.9680690008357,128.259229576069,11.013698630137,7.86349999915479,9.53903655546079,0.910500000036391,1.51493433997582,"ANTT_DRY_CAN",0.136887690967683,0.0096868091939991,NA,NA,1,8,56.68,8.89,14.11,20.33,0,43.32,34.44,"DRY",14.11,9.68577767986958,NA,1,69.9275296521533,58.3316998416755,20.3167931469761,"DRY_CAN"
"APEM","PNSL","CAN",100.3403481,103.5598562,220,200.6806963,6.86829683,20,1.978,0.11044,0.2325,1.052825,2.708475,3.2975,99.6608063391799,49.6651877489566,25.7095890410959,3.76499999996821,19.3782324216862,0.302499999901658,0.663220004548442,"APEM_WET_CAN",0.197129074938898,0.011006539452099,0.4153226381959,NA,1,9,48.54,19.78,15.59,16.05,0.04,51.46,31.69,"WET",15.64,15.1023770927175,0.0649564606138388,3,26.1983517008775,23.466835477598,11.2729355774167,"WET_CAN"
"ARIC","PNM","CAN",127.1428571,113.2548111,173,154.4785714,15.21437662,12.15,2.624,0.14685,0.29,0.4461,1.8813,3.3323,78.6516854197702,89.7397531275365,6.24657534246575,5.22500000080446,13.639912503461,1.01549999974168,1.34337574467951,"ARIC_DRY_CAN",0.206382022541477,0.0115500000038933,0.304470585273791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRY",NA,NA,NA,1,56.2651352932261,33.4746177123624,16.3305247304288,"DRY_CAN"
"ARRP","PNM","CAN",124.4482899,132.9092239,153,136.0219809,11.92836859,10.93,2.531,0.11156,0.21,0.2868,2.8084,2.8234,80.3546598192347,54.1725412611864,2.95890410958904,5.1199999985243,10.2342017287184,1.28999999940158,0.897482374810557,"ARRP_DRY_CAN",0.203377644002483,0.00896436584943382,0.358282489519884,NA,1,11,68.5,11.66,9.35,10.25,0.24,31.5,19.84,"DRY",9.59,7.21545105644094,0.0343592907449568,1,34.3171622934209,19.8553697553518,10.2998084592289,"DRY_CAN"
"ARRV","PNSL","CAN",117.5579211,135.911336,225,117.0289105,2.33940263,9.955,2.069,0.08438,0.15,0.4699,3.22685,4.886275,85.0644508377581,41.0476553336682,14.1041095890411,12.9250000018432,8.61068060577375,2.03500000016317,0.172127116019226,"ARRV_WET_CAN",0.175998348783322,0.00717773836169003,0.490515865922079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WET",NA,NA,NA,3,10.9705503534731,30.0771043889676,6.47915093381019,"WET_CAN"
"ASPC","PNSL","CAN",63.88633754,72.58641712,337,82.09394374,6.318358783,12.85,1.5675,0.07182,0.36625,0.6996,3.664275,NA,156.527989943685,115.207012626158,7.56164383561644,5.74999999709666,11.3098217266024,0.514000000010985,0.870460209181351,"ASPC_WET_CAN",0.245357624236727,0.0112418402377555,0.376155145129604,NA,1,13,62.45,10.34,12.5,14.72,0,37.55,27.21,"WET",12.49,17.2070760557743,0.0469817776266876,3,81.1390406318701,34.0679718717179,16.9605499839974,"WET_CAN"
"ASPC","PNSL","UNDER",136.8954496,176.6541353,1342,52.65911627,1.635216145,3.846666667,1.289,0.07364,0.188333,0.5346,4.403833333,6.47135,73.0484470391045,91.9718596938304,3.32054794520548,14.3499999965608,2.98091613765919,0.631000000087002,0.0925659703478224,"ASPC_WET_UNDER",0.0941594482334057,0.00537928763995966,0.300572862448648,NA,1,24,54.55,5.48,20.49,19.48,0,45.45,39.97,"WET",20.49,11.5989359463356,0.0615873795157279,4,58.0653371711525,33.9065223970006,10.5965352315203,"WET_UNDER"
