"sp","site","strata","SLA_LEAF","SLA_DISC","LIFETIME","Amass","Rmass","Amax","N_PCT","P_PCT","LT","LAMTUF","MDRBTUF","VEINTUF","LMA_LEAF","LMA","LL","Aarea","Aarea_DISC","Rarea","Rarea_DISC","sp_site_strata","Narea","Parea","LD","SampleID","Run","BagNo","%NPE","%WS","%AS","Lig","%Ash","%NDF","ADF","site2","cell_mass","cell_area","cell_vol","site_strata","p_mid","LMAp","LMAs","p_rand","LMAp_rand","LMAs_rand","LL_rand","Aarea_rand","Rarea_rand","preLL","preLL_rand"
"ABUP","PNSL","CAN",164.6655139,173.4103455,35,145.4819815,12.094682,8.835,2.451,0.09242,0.28,0.3217,1.8993,2.7836,60.7291700803419,57.6666863281234,1.15068493150685,8.83499999813865,8.38946379355435,0.734500000245649,0.6974602331324,"ABUP_WET_CAN",0.148847195866918,0.0056125898988252,0.205952451171869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WET",NA,NA,NA,"WET_CAN",0.974710870768321,56.2083460452088,1.45834028291463,0.752109714954807,64.9479680194228,-7.28128169129939,4.24109589041096,6.02500000003689,0.555499999930205,1.95615316871369,12.2422830644508
"ADE1","PNSL","CAN",125.9939975,136.6989522,126,72.91902607,17.57616265,5.7875,1.548,0.08623,0.32,0.2364,1.6612,1.1728,79.3688604094016,73.1534502573897,4.14246575342466,5.78750000133935,5.33427834642905,1.39499999990079,1.28575694013257,"ADE1_WET_CAN",0.122862995913754,0.0068439768331027,0.228604532054343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WET",NA,NA,NA,"WET_CAN",0.9052104772982,66.2192696235018,6.93418063388788,0.724460843143115,61.1420841860715,12.0113660713182,21.0082191780822,2.6,1.40499999983761,6.56243486668469,26.7617421395833
"ALBG","PNM","CAN",108.8820038,115.5234445,183,136.9191198,12.79363545,12.575,3.027,0.1013,0.19,0.3901,4.1777,4.5685,91.8425419352909,86.5625158882793,6.01643835616438,12.5750000019746,11.8520634830967,1.17500000032145,1.10744927190948,"ALBG_DRY_CAN",0.278007374438125,0.00930364949804497,0.45559218888568,NA,1,1,61.76,15.52,10.35,12.37,0,38.24,22.72,"DRY",10.35,8.95922039443691,0.0471537915496679,"DRY_CAN",0.657608611558819,56.9242558863296,29.6382600019497,0.220730814528195,20.9947868288774,65.5677290594019,11.7205479452055,15.3500000009941,0.16700000000809,6.3457653462536,11.7776900982589
"AMPP","PNM","CAN",134.4509334,148.1443752,122,72.56989128,9.290559495,5.3975,2.517,0.1713,0.22,0.1827,0.7643,1.2721,74.3765755069128,67.5017190932808,4.01095890410959,5.39749999831537,4.89859241581249,0.690999999781333,0.627128737250903,"AMPP_DRY_CAN",0.187205840550899,0.0127407073843342,0.306825995878549,NA,1,2,61.65,12.77,13,12.55,0.03,38.35,25.58,"DRY",13.03,8.79547399785449,0.039979427262975,"DRY_CAN",0.611968331011727,41.3089143739375,26.1928047193433,0.724402644538736,82.2981222180576,-14.7964031247768,10.9479452054795,3.82499999894782,0.957499999301306,8.178120736923,19.6893477656282
"AMPP","PNM","UNDER",535.2625392,563.3448773,153,171.6408542,8.055701215,3.206666667,3.049,0.21612,NA,NA,NA,NA,18.6824208078263,17.7511155296699,5.03013698630137,3.20666666597915,3.04681663251542,0.150500000000747,0.142997682939967,"AMPP_DRY_UNDER",0.0569627010430623,0.00403764478498741,NA,NA,1,3,58.61,13.43,15.01,12.7,0.26,41.39,27.97,"DRY",15.27,2.71059534138059,NA,"DRY_UNDER",0.196331368176308,3.48510079859581,14.2660147310741,0.414534630900289,14.2959666072673,3.45514892240255,5.75342465753425,21.0499999987229,1.73000000050735,6.9433597936392,3.42186748516816
"ANAE","PNM","CAN",80.22122541,90.27216473,280,50.8923454,13.878272,6.344,1.271,0.14119,0.23,1.3451,5.8012,8.9376,124.655288533569,110.776118307449,9.20547945205479,6.34399999998704,5.63765647497396,1.73000000050735,1.53738110097496,"ANAE_DRY_CAN",0.158436871726166,0.0176000801880546,0.481635296988908,NA,1,4,59.85,5.89,16.32,16.02,1.92,40.15,34.26,"DRY",18.24,20.2055639792787,0.0878502781707769,"DRY_CAN",0.678396774767111,75.1501613809933,35.6259569264557,0.301638642033904,38.4402778523025,72.3358404551465,27.1561643835616,9.60250000016132,0.276000000098546,12.2738303933298,19.3062889483424
"ANAE","PNM","UNDER",189.8346477,328.5332145,243,68.56194692,2.951928771,3.611666667,1.534,0.16084,0.16,0.6281,3.377,4.6209,52.6774228053628,30.4383226981149,7.98904109589041,3.61166666626368,2.08691066516199,0.155499999961282,0.0898517605135477,"ANAE_DRY_UNDER",0.0808071665834266,0.00847263668401456,0.190239516863218,NA,1,5,60.41,9.02,14.28,13.95,2.34,39.59,30.57,"DRY",16.62,5.0588492324267,0.0316178077026669,"DRY_UNDER",0.137524733605967,4.18602222047071,26.2523004776442,0.623951347655381,26.3904786833322,4.04784401478269,6.21369863013699,5.78750000133935,1.01549999974168,11.5661509901586,6.81292852111103
"ANES","PNSL","CAN",109.5409421,120.3109335,280.5,139.2265374,5.630404424,12.71,2.071,0.1431,0.21,0.5617,3.6872,4.4951,91.2900675153131,83.1179653343809,9.22191780821918,12.7099999991693,11.5722265092391,0.514000000005477,0.467987759732577,"ANES_WET_CAN",0.189061729824213,0.0130636086614413,0.395799834925623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WET",NA,NA,NA,"WET_CAN",0.4714613120409,39.1869049907173,43.9310603436636,0.592894655037041,28.5090818440114,54.6088834903695,13.841095890411,5.37166666856395,1.40800000046611,10.4136245794117,10.3251093091113
"ANNS","PNM","CAN",141.4510298,167.8622607,216,199.4459521,5.021511559,14.1,2.283,0.17161,NA,NA,NA,NA,70.6958444497659,59.5726517580494,7.1013698630137,14.1000000057971,11.8815242490059,0.355000000077765,0.299144759403327,"ANNS_DRY_CAN",0.161398612878816,0.0121321138660243,NA,NA,1,6,58.42,15.8,15.57,9.89,0.32,41.58,25.79,"DRY",15.9,9.47205162952985,NA,"DRY_CAN",0.399801042545656,23.8172082800774,35.755443477972,0.79614288592215,66.1233189533188,-6.55066719526943,2.92602739726027,7.29333332856265,0.924999999846316,5.2053411324186,8.39325228987703
"ANNS","PNM","UNDER",397.7819408,456.4214559,168.5,207.8410641,10.97878157,5.225,2.593,0.15929,0.21125,0.5454,4.182925,3.03285,25.139401703075,21.9095747378514,5.53972602739726,5.22500000080446,4.55370932749352,0.276000000098546,0.240540435338461,"ANNS_DRY_UNDER",0.0651864686160735,0.00400445529728282,0.103713963256101,NA,1,7,70.44,10.28,11.04,8.1,0.15,29.56,19.28,"DRY",11.18,2.44949045569179,0.0115952210920321,"DRY_UNDER",0.382895719365465,8.38908238024102,13.5204923576104,0.382692969958662,31.8086610107354,-9.89908627288396,40.9808219178082,3.79566666636627,0.241499999981026,5.92394434760693,19.502074141859
