Model,LOOIC,elpd,N,site
fit_12_mcmc_PA_Ap_LLs_opt,452.3528814587557,-226.17644072937784,106,PA
fit_18_mcmc_PA_Ap_LDs_opt,466.83129120794746,-233.41564560397373,106,PA
fit_10_mcmc_PA_Ap_LLps,466.83190559972365,-233.41595279986183,106,PA
fit_17_mcmc_PA_Ap_LDps,466.83190559972365,-233.41595279986183,106,PA
fit_14_mcmc_PA_Ap_LLps_opt,479.7034579233769,-239.85172896168845,106,PA
fit_19_mcmc_PA_Ap_LDps_opt,488.88685620732383,-244.44342810366192,106,PA
fit_15_mcmc_PA_Aps_LLs_opt,498.33213775306945,-249.16606887653472,106,PA
fit_8_mcmc_PA_Ap_LLs,499.6721329559815,-249.83606647799076,106,PA
fit_16_mcmc_PA_Ap_LDs,499.6721329559815,-249.83606647799076,106,PA
fit_3_mcmc_PA_LMA_opt,503.2912850504329,-251.64564252521646,106,PA
fit_13_mcmc_PA_Aps_LLps_opt,504.2866061652551,-252.14330308262754,106,PA
fit_9_mcmc_PA_Aps_LLps,515.7473762009886,-257.8736881004943,106,PA
fit_11_mcmc_PA_Aps_LLs,521.6303093769329,-260.81515468846646,106,PA
fit_2_mcmc_PA_LMA,528.353580636873,-264.1767903184365,106,PA
fit_7_mcmc_GL_Aps_LLs,720.8974377401811,-360.44871887009054,198,GL
fit_5_mcmc_GL_Aps_LLps,751.8684007196819,-375.93420035984093,198,GL
fit_4_mcmc_GL_Ap_LLs,756.9493563516821,-378.47467817584106,198,GL
fit_6_mcmc_GL_Ap_LLps,763.4571767319461,-381.72858836597305,198,GL
fit_1_mcmc_GL_LMA,766.6166684100439,-383.30833420502194,198,GL
