"","r2","obs","model","trait"
"1",0.00919422763630076,"obs","simple","Aarea_LMA"
"2",0.463235372123398,"obs","simple","Aarea_LMAp"
"3",0.0579880735675312,"obs","simple","Aarea_LMAs"
"4",0.113635189023337,"obs","simple","Rarea_LMA"
"5",0.362703991221481,"obs","simple","Rarea_LMAp"
"6",0.0135518051241257,"obs","simple","Rarea_LMAs"
"7",0.514924755964979,"obs","simple","LL_LMA"
"8",0.00723844074633418,"obs","simple","LL_LMAp"
"9",0.844819732969702,"obs","simple","LL_LMAs"
"10",0.00329985272154185,"rand","simple","Aarea_LMA"
"11",0.251032546656036,"rand","simple","Aarea_LMAp"
"12",0.161517254464408,"rand","simple","Aarea_LMAs"
"13",0.00404440961310702,"rand","simple","Rarea_LMA"
"14",0.136145879703025,"rand","simple","Rarea_LMAp"
"15",0.0635242349550747,"rand","simple","Rarea_LMAs"
"16",0.00586572704598179,"rand","simple","LL_LMA"
"17",0.322393816598105,"rand","simple","LL_LMAp"
"18",0.302300016493567,"rand","simple","LL_LMAs"
"19",0.0126260794508072,"rand","simple","Aarea_LMA"
"20",0.105952403179512,"rand","simple","Aarea_LMAp"
"21",0.0460122958528881,"rand","simple","Aarea_LMAs"
"22",0.00784539088223273,"rand","simple","Rarea_LMA"
"23",0.0340857904113848,"rand","simple","Rarea_LMAp"
"24",0.0063678899715237,"rand","simple","Rarea_LMAs"
"25",0.00512075848581515,"rand","simple","LL_LMA"
"26",0.254320247659384,"rand","simple","LL_LMAp"
"27",0.26793844961577,"rand","simple","LL_LMAs"
"28",0.0958865352189804,"obs","power-law","Aarea_LMA"
"29",0.547906330086213,"obs","power-law","Aarea_LMAp"
"30",-0.217413339299123,"obs","power-law","Aarea_LMAs"
"31",0.337098188994449,"obs","power-law","Rarea_LMA"
"32",0.542614947085854,"obs","power-law","Rarea_LMAp"
"33",0.152625453898823,"obs","power-law","Rarea_LMAs"
"34",0.717582577802011,"obs","power-law","LL_LMA"
"35",0.141096689445718,"obs","power-law","LL_LMAp"
"36",0.932595104957745,"obs","power-law","LL_LMAs"
"37",0.0042537459685772,"rand","power-law","Aarea_LMA"
"38",0.0180385007320121,"rand","power-law","Aarea_LMAp"
"39",0.000609371838515678,"rand","power-law","Aarea_LMAs"
"40",0.0078722020006533,"rand","power-law","Rarea_LMA"
"41",0.0586078490050705,"rand","power-law","Rarea_LMAp"
"42",0.0153166671276334,"rand","power-law","Rarea_LMAs"
"43",0.00374935002884034,"rand","power-law","LL_LMA"
"44",0.0011552417792891,"rand","power-law","LL_LMAp"
"45",0.0227086268083318,"rand","power-law","LL_LMAs"
"46",0.00430789619825909,"rand","power-law","Aarea_LMA"
"47",0.0307337207167892,"rand","power-law","Aarea_LMAp"
"48",0.0057853573204856,"rand","power-law","Aarea_LMAs"
"49",0.00504534743051622,"rand","power-law","Rarea_LMA"
"50",0.132054623791028,"rand","power-law","Rarea_LMAp"
"51",0.147296194888435,"rand","power-law","Rarea_LMAs"
"52",0.00288715309059349,"rand","power-law","LL_LMA"
"53",0.000763151989841987,"rand","power-law","LL_LMAp"
"54",0.0141065830040274,"rand","power-law","LL_LMAs"
